#{"t_start": 1746440891.959149, "env_id": "None"}
r,l,t
-2921.335838,1050,9.904498
-3251.071551,1015,37.985384
-2732.922973,985,44.081332
-2119.620245,493,47.290164
-3320.403006,986,71.909531
-2909.784839,954,78.398887
-1393.913159,494,81.630054
-2859.336392,957,103.75336
-3655.934747,1076,110.538092
-828.407297,359,130.273936
-3671.970497,1422,138.071028
-2948.916162,1129,160.849318
-2914.414151,796,165.789216
-3305.559153,1303,190.157826
-4567.999408,2383,221.6622
-2104.358184,982,227.510417
-4103.176771,1924,259.171947
-4321.704058,1757,288.181882
-3265.892441,1601,315.849582
-2957.79454,1817,343.888257
-3650.104819,1534,369.880817
-5620.775452,3250,405.897971
-4262.30258,1567,434.455037
-3034.85819,1651,459.358777
-5495.885292,2900,493.683031
-7582.42475,4445,551.214296
-2742.874219,1204,574.794542
-3850.539367,2018,599.800021
-10745.852551,5620,682.36204
-13727.8681,8646,800.347747
-1178.138327,849,805.41892
-6737.734362,3242,856.874185
-6584.028317,3021,889.994188
-5438.863803,2130,936.722601
-13366.418963,7509,1028.736717
-18728.037491,11099,1187.372148
-528.51341,453,1189.891381
-8619.321588,6846,1276.542453
-9693.703913,7519,1386.788613
-3611.645826,3537,1434.376969
-1740.021627,1487,1442.578195
-10228.041389,8153,1553.169997
-6837.237679,7828,1655.561172
-715.765247,916,1675.63002
-2221.205481,1178,1683.226973
-2838.089269,3928,1738.399482
-3105.776008,4589,1798.091625
-2072.361337,785,1818.69979
-2895.743776,1282,1825.882597
29.893042,6980,1929.537018
-24.798311,731,1933.791085
-3827.911891,1878,1960.863814
-822.643166,1403,1985.397693
-5290.529992,7664,2077.203989
-1275.334876,1511,2102.759678
162.137939,729,2106.814502
-888.230125,1413,2130.885629
-1437.847364,5589,2212.041421
2189.833362,6163,2298.208546
958.768336,1602,2324.195992
-602.311141,792,2328.686223
-68.913854,345,2330.793763
155.981951,681,2352.060166
217.078783,773,2356.992685
273.265421,580,2360.477266
-3558.80871,2491,2391.791597
-818.92391,601,2412.767832
18.744474,485,2415.408958
-651.743696,1260,2441.343776
1220.529311,1544,2450.691909
-48.550335,1005,2474.347662
2687.417399,5845,2555.650933
4109.642652,2205,2584.072841
-89.407472,260,2585.973541
7410.595736,6563,2677.671737
1156.135829,740,2682.6225
-2652.29951,1326,2709.529534
2349.95609,2326,2739.83553
325.494947,541,2760.817575
1323.030242,795,2765.045662
5482.154403,3285,2816.442351
-1851.510166,1522,2823.993468
2951.890907,2281,2854.85745
-143.797967,544,2876.527583
1854.989285,913,2881.816838
1412.740283,656,2886.95858
5325.073317,4573,2969.201007
-3497.700156,5647,3039.792127
1409.392846,1710,3070.08042
3240.004246,1066,3093.433653
864.154225,1449,3103.403159
2506.804571,914,3128.389035
2.663315,172,3129.860357
8104.749076,2357,3163.939222
2895.854314,1042,3188.698144
2763.620819,2396,3222.243093
5403.268797,1939,3253.829449
1311.308178,515,3257.211252
5345.994398,1894,3288.063287
1482.049794,4650,3353.072698
1350.273674,461,3355.597924
3672.418214,1484,3382.478313
574.548778,311,3385.124404
1411.663528,935,3408.013595
348.399251,191,3409.616671
3426.072831,1069,3415.711387
11824.384217,5450,3503.681567
1490.107968,676,3508.387923
6781.869727,2188,3538.953936
1071.011866,378,3558.189213
910.87332,386,3560.704736
-26966.365547,7075,3652.718932
158.808784,198,3654.170747
1933.479505,2662,3705.1138
7067.266326,1462,3714.3792
4696.439192,1038,3738.685867
5612.858702,1268,3764.634781
26968.592119,4886,3826.383181
2284.881794,947,3831.846468
-4721.833378,1617,3859.525153
1762.253605,623,3862.87923
4112.959135,1100,3886.137974
14633.382182,3645,3944.683998
7772.646984,1894,3973.013312
29534.062313,5593,4037.425868
18795.604847,3199,4092.536031
9604.133913,1948,4121.127947
123.696581,154,4122.175299
44786.114982,7873,4240.045071
16767.699215,3353,4275.906917
-126.551361,209,4295.381177
10087.751582,1729,4304.438813
44104.690812,7342,4415.106474
19125.920468,2729,4448.859603
5925.045521,997,4472.593991
65474.766544,9915,4618.42204
690.788816,237,4619.853181
4799.401271,3118,4656.145515
16729.800427,2869,4705.882891
1758.65545,462,4708.139884
5132.748637,915,4713.224127
37317.158992,4854,4788.922409
282.708968,209,4790.084144
673.095511,235,4791.50561
15322.035352,6466,4881.358954
24.863376,197,4882.49996
173.916886,174,4883.640352
499.841213,253,4885.121776
825.340523,285,4906.143276
-48540.89459,6974,4997.960662
5935.932548,1581,5025.814927
282.569625,156,5026.79373
154.55654,160,5027.782569
23864.592298,2919,5061.428957
722.914686,220,5062.796368
33022.188513,4351,5138.930465
81899.678194,10928,5290.608781
17271.945313,1832,5319.09895
86455.33098,9578,5445.766072
411.606091,217,5464.665651
67349.935047,7340,5558.866576
17643.513401,1988,5587.505498
171.025931,140,5588.45396
5842.05202,901,5610.820368
15101.733134,1663,5620.733332
798.464895,248,5640.099921
14730.517602,1628,5649.843328
313.574537,230,5651.74066
60239.6661,6551,5757.361922
25901.918874,4816,5815.280392
329.91289,161,5816.280782
429.876198,188,5817.457673
242.266085,210,5818.669254
13263.260064,1739,5843.943924
41458.474867,4233,5897.85872
577.512741,170,5898.884819
478.640582,185,5900.35891
97.072923,141,5901.575807
65658.379907,9994,6036.586292
575.471515,210,6037.897853
17164.137379,4900,6109.704538
36.264555,173,6110.778475
405.769647,159,6111.756775
36580.680767,3532,6161.358826
161.61613,157,6162.42076
7098.227934,986,6167.949525
515.810621,323,6169.73592
16.977008,150,6187.072266
10270.321393,1204,6193.415871
326.202977,219,6194.607772
-7.48092,126,6195.462241
10165.017008,1559,6220.575784
-5.157024,133,6221.494229
45870.508607,4318,6276.004866
15372.814083,2798,6322.340298
267.796332,173,6323.602435
325.821997,203,6325.038351
265.32272,170,6326.080015
330.844335,166,6327.075329
94632.402437,8825,6438.151244
96751.562476,8574,6549.669724
94832.242694,8784,6675.391505
-4.117267,179,6676.390717
60464.34778,5551,6754.586221
72453.100246,6516,6836.611001
11941.008701,9670,6952.926672
