#{"t_start": 1746485341.8634398, "env_id": "None"}
r,l,t
-244.327953,129,3.664623
-572.714998,235,5.375263
5.587198,1,5.691016
-206.605478,218,7.526289
-856.008299,386,10.120141
5.77791,1,10.443474
-60.283786,90,11.439409
7.907026,1,11.750681
-916.830811,316,13.70874
-2037.046455,712,38.35488
-185.06508,220,39.815508
-1465.857643,554,43.114662
-40.260867,83,43.863309
-998.150976,275,45.831834
-1422.167613,327,48.435941
-1243.562899,364,51.405126
-1402.603678,552,72.27701
9.008674,1,72.58802
-1120.348922,390,75.196005
6.010088,1,75.513904
-3733.409332,1309,101.171816
-3821.816143,2193,131.864066
6.598325,1,132.189023
-4964.890447,1602,142.044791
-993.044516,411,161.301985
-17047.526391,3949,201.606233
-1824.620216,946,224.005058
-6576.46917,4635,287.606198
6.503243,1,287.94897
-914.125218,560,292.470459
16.667877,114,310.178776
-1002.70913,824,316.341885
-1730.120327,1973,346.504717
-1391.116556,1237,372.175682
-619.326408,430,375.650383
-1339.974146,435,378.675688
-1297.48297,906,385.107097
-88.030732,224,386.747745
7.225343,1,387.073381
-130.851777,394,406.971695
-490.598438,528,410.762004
-532.427677,1091,418.49262
-801.917424,1032,444.029135
-16.232684,43,444.594294
4.37952,111,445.765083
-41.277807,105,447.005742
-50.768577,245,449.872373
-347.943324,604,471.229008
-185.345464,163,472.731561
-656.499842,614,478.214532
-221.468754,197,480.067785
-284.400064,385,483.111797
-526.43654,352,485.976365
-868.781547,1053,511.272887
-629.531151,598,516.329868
-160.86982,184,518.004794
-230.948347,529,539.297081
-102.812941,305,541.79821
21.970809,304,544.346382
-90.037859,126,545.326729
8.981381,144,546.626896
-324.973683,329,549.266748
40.844488,94,550.344623
-1050.366143,1489,579.958435
-76.6427,148,581.440736
-189.653878,963,589.304358
-36.188254,223,608.940804
27.979343,177,610.465338
-162.455011,468,615.093621
8.229137,1,615.430787
75.786664,225,617.270053
-178.32777,210,618.69273
-338.019669,269,621.269279
-65.260446,224,623.295176
-478.921409,529,644.166822
-530.245394,676,650.431102
-138.613635,113,651.445902
-135.560138,212,653.926771
-14.33854,434,658.041635
-44.386734,112,659.019431
-360.248625,382,662.723269
87.774509,145,680.947228
211.423076,313,683.924595
77.011002,172,685.916083
60.812672,488,689.527314
-468.186754,335,692.252433
58.51487,121,693.74919
-150.221199,257,696.662471
6.999809,1,696.984284
-553.76231,403,717.180036
-480.875179,465,721.17134
-7.288595,411,724.747882
-87.70264,148,725.952406
-148.476896,357,728.470734
-315.774046,274,731.025697
-405.047456,450,752.173535
-181.422811,367,755.422031
-1353.07353,335,759.26367
-316.899097,294,761.501361
-104.735685,531,766.396092
-353.481964,976,791.567022
95.255701,113,792.597668
-176.527914,309,794.952844
-430.425212,347,799.191339
-1.631997,171,800.848161
-1.900257,99,801.928465
-37.788862,235,804.732597
-742.800821,410,824.434627
16.756092,209,826.024384
-261.851411,187,827.661373
-263.076489,302,830.394813
-13.585772,410,834.077654
59.665368,199,835.393444
-525.945171,254,837.735515
5.050535,1,838.073251
-304.011012,446,858.789887
-500.353852,282,861.756013
149.586223,373,864.948323
26.645424,227,866.590327
-1960.425055,788,873.316529
-98.851953,459,894.610103
-338.139314,303,897.643426
-232.992985,275,899.940782
-71.117199,275,902.327937
62.351805,210,904.199065
-75.662689,423,907.590772
9.397215,1,907.912413
-303.881598,256,927.321697
-45.089171,183,929.379873
6.239194,1,929.69797
-588.500623,299,932.040606
-36.883027,265,933.995683
328.358551,536,939.159724
31.233422,193,940.814656
248.581279,661,963.590771
-49.447554,318,966.293005
8.443209,423,970.07685
-68.778239,125,971.409504
-7.126452,50,972.41615
-36.451234,146,973.574828
142.460061,264,976.044588
212.746242,733,997.269264
140.049318,685,1002.600185
121.932203,180,1004.560208
8.263932,155,1005.927739
251.081157,307,1009.019822
-281.728466,571,1030.780898
-1116.0122,579,1035.14922
4.587122,1,1035.49791
9.309508,1,1035.801409
-901.575201,1211,1043.796668
38.099365,322,1063.603481
-76.285502,238,1065.234369
-30.494089,744,1070.822397
165.058452,235,1073.051891
78.703058,570,1077.959406
