#{"t_start": 1746485341.8707557, "env_id": "None"}
r,l,t
-130.628663,117,3.274798
-2180.283707,669,8.858777
-2446.65416,743,14.852978
-1195.281852,493,18.565353
-5072.000158,1950,52.04247
-1341.171521,370,71.325125
-966.334849,489,74.750988
-1490.714357,505,78.500568
5.903789,1,78.820678
-4130.533749,1872,107.777111
-158.366734,90,108.617099
-901.629079,535,111.954865
-1087.706818,599,132.844194
-3484.118588,2078,162.369064
-2911.736778,1382,170.95898
-2070.537344,1474,196.161662
-4442.406192,1491,220.961272
-1061.818954,393,223.595907
-169.786358,170,225.12372
-28.628657,244,226.633462
-566.391844,404,229.380882
7.033049,1,229.707305
3.572171,1,230.011268
6.916025,1,230.298469
-2411.145836,1840,258.259728
-264.666123,264,259.906363
-1199.514317,519,279.993923
-700.765142,813,285.293827
-1110.425951,914,291.089179
6.986869,1,291.417622
6.472274,1,291.719667
5.866354,1,291.994786
-145.275847,231,310.911643
-242.178672,389,313.86193
-2443.990154,2422,347.548897
-543.937681,384,350.042883
-211.259424,503,353.958452
-409.63715,650,375.082111
-511.668939,451,378.210629
-776.194159,632,382.83384
-245.607268,566,404.525254
-476.318447,685,409.09257
-498.886811,535,413.182905
-717.807281,843,436.42183
5.140774,1,436.750643
-95.496367,211,438.164287
-34.978229,137,439.321608
7.822259,1,439.64436
-1009.577012,961,448.013885
-200.304955,94,449.051459
6.80821,1,449.375147
-28.27951,130,450.909721
7.070676,1,451.226836
-420.577439,442,453.718566
-226.352878,156,472.005563
-112.148047,316,474.612527
-65.288401,141,476.098552
-53.30511,90,476.944726
-71.313852,178,478.733801
-57.015583,178,480.49482
-566.651508,416,483.711402
-294.603206,536,488.014052
-228.363345,180,506.336636
-148.736491,152,507.545196
-408.805526,463,510.81949
-156.762824,314,513.303061
5.238838,1,513.592096
192.089877,234,515.613904
-98.268868,353,519.020562
-94.028532,106,519.86689
-110.11996,577,541.173118
-82.325045,156,542.707875
-642.496357,940,550.946991
53.2542,160,552.082757
-75.962174,547,573.037288
-2.231186,168,574.726329
-66.800231,144,575.971487
-69.853343,196,577.59102
-301.762665,233,580.289368
-431.861627,631,584.919569
-123.241884,248,586.949474
6.34018,1,587.281098
-31.364458,184,588.737366
-29.08929,117,590.001886
25.51608,132,608.512607
-6.704739,221,611.449873
-366.413911,220,613.151326
-122.510018,222,615.423921
4.686373,1,615.760838
-268.78009,464,619.37007
-18.159169,56,620.023112
-127.23027,227,621.820889
-362.451144,811,645.038448
92.749349,406,648.559744
-29.084907,118,649.802027
-219.055793,255,652.649998
9.179858,1,652.976777
-196.942308,687,659.500537
-37.054583,726,683.105758
-906.006139,558,688.166103
-399.629807,587,692.893703
-106.197078,253,695.704577
8.880699,1,696.008128
-139.1406,161,698.031039
-148.177499,431,718.557113
-509.581816,691,724.082823
-555.38599,1023,732.76032
-136.791817,327,752.861627
215.422286,612,758.545628
-219.618494,133,760.16837
-368.116373,386,762.856315
53.501945,159,764.315436
-110.838625,115,765.5116
-628.17476,597,787.105368
45.998059,163,788.438913
11.30913,52,789.096459
-50.370743,201,791.042069
472.881477,708,797.776602
7.096253,1,798.144564
47.566466,111,799.641641
78.70715,365,803.499998
-511.08735,391,823.440399
20.31723,395,826.559107
-352.808717,518,831.342609
-95.966398,545,835.814415
6.237851,100,836.700123
-106.286235,260,839.121176
115.086439,328,859.156274
-158.821625,228,861.133465
-1839.839335,925,868.837049
-19.146312,18,869.307029
19.781772,663,892.118017
-148.566024,307,895.056386
-34.091545,296,898.001466
251.018143,649,903.248907
-99.802863,229,905.106038
-67.416455,137,906.41612
156.186705,331,909.466083
-232.678919,219,928.760824
-1709.821408,605,933.613933
-197.615713,280,936.316116
133.893349,189,938.018813
-58.736176,261,940.448778
100.921913,325,943.187591
94.00386,194,944.645304
28.293124,545,967.457353
5.269209,359,970.470652
-255.538224,1391,998.052174
-260.53861,357,1000.4252
-51.49958,108,1001.388554
135.41731,189,1003.21005
-110.181518,117,1004.177014
-46.790171,367,1008.133357
24.711808,275,1010.5746
68.038856,214,1012.222266
-351.968765,631,1033.862398
-1439.247627,921,1040.692245
90.010661,586,1045.100132
120.216491,111,1062.985997
56.581611,322,1065.744737
-38.065013,285,1067.818026
35.021796,137,1068.841964
-1011.76293,341,1071.424093
-21.111883,120,1072.409529
35.146959,296,1075.060922
-40.415349,185,1076.769025
170.931482,252,1078.809366
-12.915758,274,1098.435763
36.264785,438,1102.618752
5.490617,1,1103.000755
-19.847656,53,1103.600443
-55.756817,130,1104.588433
7.248747,1,1104.875993
202.712358,769,1109.923137
-206.997809,271,1112.475333
-91.912888,219,1131.00015
-233.639342,489,1134.537722
-321.397799,513,1138.181381
290.237367,1469,1164.819549
143.298735,739,1170.017341
407.584935,909,1192.504073
-215.377522,629,1196.62659
6.904082,1,1196.944666
-1031.067494,938,1203.712909
-788.819879,525,1223.894379
-1075.614892,803,1229.836961
-56.287906,1979,1261.167883
73.207658,623,1265.212375
-73.887216,243,1267.370979
-70.605418,194,1269.141513
456.802314,1331,1297.150405
92.577938,1231,1323.086155
335.282513,971,1330.718436
-373.02443,455,1333.671352
7.717479,107,1335.499847
-1035.693206,1022,1359.036553
9.663329,1,1359.353908
-359.922039,302,1361.872577
