#{"t_start": 1746440892.0055711, "env_id": "None"}
r,l,t
-3743.725736,1157,10.732753
-3483.056724,799,17.006545
-2249.456415,992,43.240407
-3261.065187,1095,50.068404
-3527.975614,1550,79.142397
-1903.87697,707,100.004034
-3709.540559,1393,108.276754
-2857.816945,1324,133.719718
-4262.603011,1558,158.796782
-2668.977421,1042,165.017313
-3383.529009,970,186.992645
-2744.190089,959,193.306335
-4284.023174,1607,220.088296
-4331.949223,1468,249.200593
-4707.100701,1959,279.834931
-2679.544872,1357,286.890254
-3813.141806,1826,316.522968
-3849.242971,2206,346.836062
-2222.675477,938,368.606415
-2704.700861,1161,376.358442
-3402.259207,1332,400.721277
-4116.637586,2344,433.686867
-5831.915972,2752,464.726105
-6225.396218,3725,520.776528
-5282.489676,3828,575.03505
-3558.561061,1939,599.169143
-1323.910414,792,604.908255
-3288.415744,2051,633.029493
-972.528353,370,652.251246
-6360.571139,3193,686.381399
-630.260636,291,688.086166
-5985.255652,3690,743.952019
-1178.6395,788,748.326519
-4737.806531,2013,776.443241
-882.029461,547,797.142421
-38556.108045,14259,996.017991
-496.460319,282,997.623303
-14496.206072,9319,1113.105994
-5295.912175,4474,1186.430493
-2790.044122,2362,1215.238738
-17264.542725,13876,1393.563807
-12437.604069,7010,1493.73019
-8940.634615,6310,1576.773568
-1906.080248,2065,1601.891769
-8004.199105,2797,1631.644203
-2903.283128,4277,1686.677322
-2524.845317,1432,1711.199316
-818.018656,3292,1762.807814
-4819.063159,4460,1821.587118
-743.592359,2110,1850.951936
-1874.521644,1045,1856.639822
-754.243913,785,1878.33305
-10153.231753,7244,1966.472726
-13349.637232,2702,2015.165558
-913.102747,1761,2040.784532
-7256.241714,5592,2104.648125
-395.951173,684,2124.908012
-3356.420237,3035,2159.141069
-718.714098,1769,2185.328968
-1725.082675,3136,2236.509537
699.870233,2360,2267.091743
-771.364412,814,2271.781321
104.315022,2685,2303.048418
-562.072624,668,2323.916215
1002.61655,1327,2331.944613
337.277009,968,2354.835015
571.0613,452,2357.971608
-2220.746342,4809,2419.652876
-2963.066174,2226,2452.014336
-1093.554165,4090,2508.164457
169.640746,362,2526.79393
1306.599253,1127,2532.305909
4177.158383,3364,2584.954156
-1429.399562,919,2590.444422
367.705758,2768,2642.659255
-5056.529291,1745,2652.066179
923.397811,1086,2676.123601
2657.040092,1889,2706.904667
1936.064025,1683,2733.644414
3764.28439,3371,2770.870159
1388.188763,965,2792.982075
-351.584648,519,2795.784443
174.000817,2724,2826.882817
1174.01782,698,2848.113529
