Step,Deviation_X
681,0.17472379
682,0.17465666
683,0.17451295
684,0.17454918
685,0.17458001
686,0.1748931
687,0.1752669
688,0.17583397
689,0.17664057
690,0.17737247
691,0.17822984
692,0.17890447
693,0.17969622
694,0.18026276
695,0.1810149
696,0.181554
697,0.18230706
698,0.18294671
699,0.1838992
700,0.18490721
701,0.18558979
702,0.18635993
703,0.18710516
704,0.1875602
705,0.18812957
706,0.18867603
707,0.18896385
708,0.18933141
709,0.18963663
710,0.18992995
711,0.19022326
712,0.1902999
713,0.1902306
714,0.19027284
715,0.1903058
716,0.19020994
717,0.18996167
718,0.18967341
719,0.18930101
720,0.18858185
721,0.18818487
722,0.1880935
723,0.18820053
724,0.18839195
725,0.1884968
726,0.18868218
727,0.18877684
728,0.18892933
729,0.18879892
730,0.18873319
731,0.18864496
732,0.18846458
733,0.18834348
734,0.18816717
735,0.18799436
736,0.187714
737,0.18728413
738,0.18701692
739,0.18705004
740,0.18720247
741,0.18763034
742,0.1881523
743,0.18862084
744,0.18893512
745,0.18921797
746,0.18947232
747,0.18969099
748,0.18984228
749,0.19000256
750,0.19016054
751,0.19033365
752,0.19044891
753,0.19056915
754,0.19069244
755,0.19079994
756,0.1909041
757,0.19095924
758,0.19104958
759,0.19109242
760,0.19106747
761,0.1910407
762,0.191023
763,0.19103341
764,0.1910747
765,0.19112521
766,0.19115654
767,0.19058993
768,0.18910821
769,0.18675482
770,0.18318479
771,0.17779328
772,0.170407
773,0.16083318
774,0.14869933
775,0.13412136
776,0.11946533
