joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11
13.2667,0.1592,-1.571,-16.1614,19.8101,2.2174,-10.0351,20.109,-53.3035,7.4942,2.897,-2.763
1.2622,8.6279,4.9896,-23.1152,14.5648,-0.9864,-1.2564,-2.9998,3.1668,1.867,-4.5868,2.0566
-34.7411,-3.2402,0.8,13.587,-4.2148,-0.015,14.6533,7.638,9.3984,4.5035,-6.1783,2.4176
33.0915,-8.0282,2.2207,38.7303,-16.8632,-0.3336,0.0233,1.9694,-1.5612,-2.8759,0.3167,0.7085
16.3854,7.5111,1.1445,-22.9657,-11.851,0.4209,-4.8387,-0.7376,7.333,2.7438,0.0026,1.9108
-47.3754,-4.051,-0.7568,-31.7592,9.5274,-1.7974,1.8361,-5.5292,26.7012,-3.4702,2.231,4.8125
1.407,1.5439,-2.1028,10.1392,4.7588,2.2713,3.2365,13.7893,24.1272,-1.4576,-0.1236,0.1668
1.9831,4.5191,-5.6312,29.8588,-4.3354,-0.0248,-0.7428,45.497,-12.3808,-3.7791,-0.0997,0.1851
45.9707,5.1744,-0.6916,-75.9695,5.0431,0.6068,-2.1178,18.6956,5.7921,13.9112,-0.7064,2.4753
-15.3513,12.2226,1.3517,46.9143,-14.441,-0.7565,-0.6345,-1.0427,-2.976,-2.4933,-0.328,-0.1804
26.4603,25.5227,30.9269,-1.4119,0.6933,4.6621,1.4363,4.3405,-1.7282,24.513,28.039,28.7449
-43.1222,-0.6122,-30.5099,-2.1033,-2.3476,8.4258,2.2044,2.323,0.6482,-39.8494,-2.6202,-28.1135
16.4039,-23.9764,37.3114,-1.342,-15.5899,64.4784,6.5852,14.1609,-8.2198,16.4083,-16.3196,16.5936
-8.2181,27.1017,-3.5965,49.7006,12.4164,3.9381,-4.7126,10.7986,-1.242,2.4738,22.1518,31.7526
-27.9263,-5.3615,8.0279,-12.1212,14.2916,23.2126,2.3648,-2.9909,0.8572,-13.7139,-8.2999,3.9952
41.3173,-32.3655,-3.5029,-30.3057,16.8486,4.1961,2.3566,-3.1336,0.6283,24.1708,-19.0521,11.4156
0.5458,18.7032,-49.3381,11.3105,-3.2618,-5.3921,-5.1584,-16.3615,9.4732,-32.3947,26.2536,1.9735
4.3107,9.4945,70.8543,22.2367,-16.3656,4.2634,1.6248,-34.6951,89.0521,35.5224,-11.7813,-5.4112
0.0653,4.123,-63.9281,-41.8618,-18.8264,-2.42,3.5329,-1.0281,38.2042,-13.5147,-1.4272,1.0178
-46.4987,2.7332,10.3993,14.3812,-10.9585,1.3442,6.499,-13.5425,94.533,-4.706,13.8289,-0.68
23.8912,10.7091,4.9091,4.2336,12.2318,-3.0998,4.3456,-15.4374,64.1708,21.714,-27.4296,0.1543
38.4353,-33.4558,31.5855,19.0969,25.2998,0.6385,-19.5532,-2.6574,-19.9861,-15.4021,19.7387,1.2077
24.5941,23.2795,32.1975,2.7111,2.3575,2.4267,-2.6414,4.3208,-1.1244,25.3771,32.6403,24.7336
-42.1604,-0.2374,-31.2581,3.4806,0.2021,4.4433,-3.166,1.3495,2.2847,-60.309,1.954,-17.5194
17.8536,-22.0249,42.8398,3.3793,1.0004,8.0276,-3.0999,8.165,-3.7157,37.6792,-53.6194,39.9014
2.5232,32.2927,-6.4007,4.9389,-21.159,96.4276,1.1808,21.7053,-6.8551,-23.5424,30.3311,-83.3557
2.2449,-3.269,4.2033,3.0976,-33.531,100.0,-1.5568,7.0208,0.1577,7.2499,28.5818,46.298
-3.1726,-32.4463,-7.9393,-0.6445,19.963,-66.1928,-1.7109,-6.4278,3.6792,1.1469,-4.5222,2.3547
0.0882,13.2723,-25.4573,-2.8204,-21.4712,65.6404,4.9736,-17.2365,9.9078,-27.5247,-26.3282,-1.4106
-17.5067,10.7415,47.7285,-2.3742,-11.1087,30.3538,1.6948,-16.1495,11.7218,16.1397,-6.1484,3.3808
-21.1922,3.272,-60.906,-0.1401,-9.8878,35.5015,6.8329,-10.2744,13.6947,-4.8266,41.4918,-1.6782
-16.4366,-15.1706,58.957,0.5138,-0.0449,10.4167,3.6656,22.3311,-32.1014,-1.1966,-4.9869,2.6711
-14.3766,43.7089,-32.0372,0.6559,3.8837,-0.361,-26.5934,39.8024,-35.6958,0.1344,-21.4427,-1.7193
-20.163,-15.6081,37.2228,0.2427,3.1024,-3.0352,20.4186,31.081,-73.9412,5.9549,21.155,1.358
15.5118,-29.5007,-56.9203,0.2819,-2.3048,3.1375,-22.2665,-15.0297,7.8851,6.836,3.77,3.0835
15.124,1.7978,68.0956,-0.1118,1.6042,-2.0372,-1.7909,-4.6729,14.4457,-11.641,-33.7919,-2.348
-14.5919,48.8944,-25.6711,0.3506,-1.1183,1.0535,31.3942,13.5347,-6.1149,3.2568,10.3788,0.8211
24.5941,23.2795,32.1975,2.7111,2.3575,2.4267,-2.6414,4.3208,-1.1244,25.3771,32.6403,24.7336
-42.1604,-0.2374,-31.2581,3.4806,0.2021,4.4433,-3.166,1.3495,2.2847,-60.309,1.954,-17.5194
17.8536,-22.0249,42.8398,3.3793,1.0004,8.0276,-3.0999,8.165,-3.7157,37.6792,-53.6194,39.9014
2.5232,32.2927,-6.4007,4.9389,-21.159,96.4276,1.1808,21.7053,-6.8551,-23.5424,30.3311,-83.3557
2.2449,-3.269,4.2033,3.0976,-33.531,100.0,-1.5568,7.0208,0.1577,7.2499,28.5818,46.298
-3.1726,-32.4463,-7.9393,-0.6445,19.963,-66.1928,-1.7109,-6.4278,3.6792,1.1469,-4.5222,2.3547
0.112,13.2773,-25.4702,-2.8203,-21.4702,65.6373,4.9756,-17.2361,9.907,-27.5232,-26.3297,-1.4105
-17.8539,10.7891,47.6921,-2.3762,-11.2075,30.6663,1.6732,-16.1489,11.7308,16.1697,-6.139,3.3803
-22.5051,3.4398,-61.0707,-0.1425,-10.5923,37.3758,6.376,-7.8927,7.3553,-4.7737,41.5218,-1.6664
-4.0264,-15.999,59.5869,0.6575,-4.6952,23.9045,9.4262,11.463,-10.7813,-3.9245,-5.161,2.533
-1.2796,34.9589,-2.9129,0.8367,6.3249,-10.4387,-30.5111,13.3958,31.9034,8.3046,-22.933,-2.6577
-20.5708,3.5956,-20.2736,0.7141,3.3196,3.6376,32.5355,5.0473,36.0819,-2.8309,23.351,0.3432
8.4271,-29.8801,46.7785,0.5279,2.891,-0.5546,16.8711,1.0817,-0.776,9.3032,-0.9236,-0.9068
9.2385,18.383,3.3934,0.1867,-0.2854,-0.4506,-20.4922,-14.8393,-3.9677,4.4874,-6.3881,2.1262
24.5941,23.2795,32.1975,2.7111,2.3575,2.4267,-2.6414,4.3208,-1.1244,25.3771,32.6403,24.7336
-42.1604,-0.2374,-31.2581,3.4806,0.2021,4.4433,-3.166,1.3495,2.2847,-60.309,1.954,-17.5194
17.8536,-22.0249,42.8398,3.3793,1.0004,8.0276,-3.0999,8.165,-3.7157,37.6792,-53.6194,39.9014
2.5214,32.2866,-6.4029,4.9413,-21.1631,96.4323,1.1758,21.8539,-7.164,-23.5451,30.3266,-83.3518
-56.2708,2.6664,-2.8242,2.7536,-32.0017,100.0,-5.1271,6.4501,0.3094,10.1247,30.1027,45.3626
37.174,-38.2609,1.2338,-1.6687,-24.6313,38.0476,3.6489,-6.695,3.8337,-3.534,-6.971,3.9306
12.6984,24.2687,-58.0463,-2.22,-29.0447,93.5893,2.3174,-17.5836,10.0053,10.951,-39.7277,2.3289
-28.4771,-19.9921,89.1304,-0.8703,12.0379,-11.4417,0.5335,-12.2064,10.863,3.299,7.9178,-1.2929
44.1473,1.1276,-93.0436,0.3464,9.5392,-44.2513,9.0615,-7.7068,5.1079,15.725,19.3907,-0.9323
-18.0272,-1.8374,55.4758,0.2765,16.0073,-56.2552,-10.013,4.5265,35.2676,-1.2157,-22.0479,-0.4402
-64.9736,32.571,-49.0242,0.0157,-1.408,38.8499,21.2752,10.0098,37.9986,-4.0762,13.144,1.2831
-16.8398,0.7066,-18.1641,0.0462,-27.4041,50.2368,8.75,-0.6775,22.1695,-3.4248,-5.6646,-0.4131
35.0156,-16.8765,35.9104,0.1983,1.171,7.2629,-27.9805,-11.5855,2.4975,1.1657,-13.2901,-0.6169
84.0426,-16.2068,43.6785,0.6817,-28.4466,61.1051,26.4585,-14.1265,-31.5209,2.716,-4.5774,-0.3053
-7.4901,27.0433,33.9986,2.9003,2.5956,3.4977,-2.72,5.6354,-2.0974,17.46,29.3568,17.509
39.7425,-14.3835,-39.4197,-4.7741,-1.2489,7.7284,4.6196,6.1528,-3.8783,-31.1123,-14.5645,7.958
-52.3512,-9.3902,-5.6991,9.3401,3.7855,4.1397,-8.8397,7.8441,-1.755,34.9417,7.6752,-45.3252
0.4267,14.6678,5.1957,-9.8612,-9.6779,37.8666,7.1062,10.9256,-4.6166,-27.7216,-6.6486,42.3922
78.338,8.9541,12.0741,10.0283,11.6426,11.8046,9.8575,1.5892,-1.8399,4.1234,-4.1055,38.3507
4.2809,-15.1144,6.1518,16.033,18.4353,-9.5239,4.7043,-5.8246,1.215,17.7824,0.7091,27.4045
-57.0537,-11.5056,-0.4132,-4.9132,4.3951,-20.2237,-4.7266,-15.238,8.9762,11.5383,-12.7492,-5.8691
-32.028,6.9884,7.0216,10.5802,-27.2857,10.735,4.2743,-11.6668,11.8378,-11.5355,12.113,-11.4685
16.1315,0.2682,5.226,3.1059,-8.8355,-6.724,0.6564,-8.9983,8.7367,8.279,-15.6682,-0.3359
52.1471,-22.3214,-3.741,-0.443,8.0521,2.4947,1.2546,-5.6476,5.889,-4.118,-8.0939,4.3212
11.8681,21.9047,-5.9638,-1.7131,22.647,-0.5817,-5.5733,-5.5047,22.341,6.9989,1.0773,-2.0027
-61.9567,28.7696,0.7564,0.2153,4.9212,0.1969,-7.6942,27.023,2.4333,-6.0078,12.0732,1.2314
-8.6998,-4.4945,0.0983,-0.2609,-14.3541,-0.459,-1.0585,7.6471,65.8585,-10.5952,0.9349,1.1449
-7.4901,27.0433,33.9986,2.9003,2.5956,3.4977,-2.72,5.6354,-2.0974,17.46,29.3568,17.509
39.7425,-14.3835,-39.4197,-4.7741,-1.2489,7.7284,4.6196,6.1528,-3.8783,-31.1123,-14.5645,7.958
-42.9075,-7.9568,-7.5135,9.2014,3.2245,4.862,-8.7414,7.8672,-2.0198,34.8962,7.5798,-45.4637
-20.4461,30.7631,-37.2083,-5.3589,-3.4436,14.5395,5.933,9.9943,-4.487,-26.2354,-7.6971,47.1565
51.2383,-7.3003,10.8384,-3.3413,19.7808,-24.5595,10.725,0.9343,-1.5507,-11.8615,0.1404,30.3576
20.5835,-20.7288,-5.1349,6.4072,-3.8318,71.2391,4.8468,-4.4446,0.9906,43.5591,-0.7274,3.7023
-36.9635,17.7412,-3.357,-2.587,0.5804,8.3859,-1.9633,-14.3,8.1992,-19.4541,16.589,-31.6308
-36.4266,6.8757,3.6895,5.0488,-7.5625,-29.6417,-0.1049,-16.95,13.6852,6.3758,-33.1913,48.9835
28.3074,-17.0733,-8.2637,1.3677,-6.9153,-24.1072,1.4853,-7.2938,6.5888,40.4051,27.0385,-11.2657
41.5929,11.325,-27.2558,1.4196,-18.5828,57.9653,4.9718,-6.0647,3.43,-39.5033,-10.0085,20.0604
-33.1321,18.4325,-5.5736,-1.3476,20.4216,13.6386,-18.7282,-22.0615,76.845,34.8927,-11.5487,-45.2768
-23.2036,-19.6367,1.5708,-3.7614,2.1616,22.3902,13.367,26.9787,-16.2548,-26.7631,-14.8979,75.8505
-2.8394,2.4731,-5.2666,-1.5549,-0.1575,-16.1706,4.8523,28.7399,-23.4637,5.3262,28.2602,-100.0
2.8743,5.4921,-6.6429,1.1393,-29.6656,7.1343,-10.5145,1.5306,18.4186,-9.3911,-1.7091,16.8061
1.7682,2.3485,-0.2166,1.6411,-11.167,-2.34,17.8697,-1.6079,-9.0778,-0.127,-4.8065,32.853
3.4562,5.1007,-1.5322,0.7079,6.5591,0.3659,-7.8078,-23.3465,2.79,14.0696,-26.2152,-26.6119
2.7675,4.4998,2.3524,0.5617,26.6665,0.2501,-5.81,-8.7988,-0.2326,-1.5457,10.6782,38.2739
1.4224,-0.451,0.3743,-0.2342,6.3752,-0.6402,1.5483,-0.0754,-0.5326,-6.0436,-17.3569,-22.1617
-0.8475,-1.9898,4.0986,0.0743,-11.9257,0.4993,-7.5529,12.148,1.3622,-2.7546,2.166,-21.6749
-2.2931,-2.93,5.8691,0.5615,-15.5471,-0.2938,-2.4225,13.9881,-1.0364,-0.2984,-0.9605,21.8107
-2.6368,-0.4658,4.7114,0.1666,3.8417,0.1442,-21.5358,7.248,0.7917,1.0486,9.2575,13.3823
-0.456,1.2378,1.5971,0.0522,22.7335,-0.0352,3.9942,-13.4202,-0.9448,0.6544,20.6728,-8.8097
20.4048,7.5542,-1.4625,0.1803,1.9114,0.072,2.7454,-1.4298,-0.376,0.7872,-1.7776,13.2399
-37.1523,-0.7393,-5.583,-2.1435,-20.6063,-0.1126,1.5986,0.9292,0.4051,-1.1343,-5.3909,2.3662
1.1964,0.9701,-1.0581,-0.853,-0.1532,-0.1786,-2.4229,10.5039,-0.262,-0.9056,-0.8762,0.6295
-3.1949,-0.5609,-0.004,-0.2452,18.5513,-0.1066,-2.8949,-11.5408,0.3004,3.1852,0.2574,-0.7213
7.9967,-0.2452,-9.1867,-1.6385,0.5915,0.0239,-2.0568,1.0481,-1.8946,-2.0791,-3.7639,1.8606
-1.3704,-0.4453,0.0292,-0.1362,-18.1233,-0.2757,2.4801,5.0018,4.6603,1.2787,-1.4298,1.0834
-1.9371,0.0524,0.5942,-1.499,0.025,0.1592,3.5058,6.0638,-2.7288,1.6957,-0.9614,0.465
-6.2829,1.7115,-0.494,-1.5638,18.0017,-0.248,1.7458,-16.2568,1.0345,3.5244,-1.2433,-0.5105
8.0922,0.7813,-1.4097,10.8654,-1.2913,0.7763,0.6778,-5.1122,-0.3831,17.6015,14.1164,0.6241
-21.9142,31.75,-10.651,2.2054,0.0571,1.849,-2.1452,-0.0915,2.0794,2.2072,1.1623,-0.3033
53.2474,-10.0436,-7.9556,1.8381,-0.5707,4.9177,-1.7432,1.5138,0.8189,3.5699,11.8232,-24.7218
-6.1135,-13.9488,-18.4108,4.6101,-1.4061,12.2586,-4.081,5.4596,-0.7913,3.1377,4.4074,36.4447
-26.2844,28.0505,14.647,-5.7625,29.4064,-51.704,-0.1359,11.2159,-4.7545,-14.7898,-2.1251,24.7179
17.0587,-3.1252,6.9099,-10.03,16.8353,22.1642,0.1496,-1.556,3.1672,16.6437,-18.8961,51.9251
-28.4017,-16.2512,9.1017,-3.8433,6.3819,20.0134,1.5256,-6.4785,5.5877,-41.3772,-0.7027,4.5112
13.325,14.9107,2.0583,-2.3868,-2.2241,-14.968,4.3836,-11.3203,8.9619,26.0747,-4.5922,-25.8643
42.0417,-12.4939,-4.2459,-2.838,-24.6456,5.8601,11.2728,-9.5161,5.632,-1.783,-16.6915,15.1769
-29.4257,11.9366,8.2625,-13.891,-1.4612,-1.5741,-2.4523,-33.8042,50.0688,10.6532,-18.4369,23.978
-48.1656,-24.8049,13.0399,18.5301,11.8369,1.2587,2.3736,-36.7831,90.3784,-9.4507,-13.7962,34.949
-2.0837,19.2735,-36.4639,12.6378,7.9213,0.402,-4.1406,3.8127,30.0543,-15.6415,18.0676,-29.2689
71.2099,1.7434,2.3233,10.8561,-8.5288,0.0964,-9.6972,43.6552,-65.6394,8.9077,25.4213,-40.3787
-9.6481,20.6941,-3.7613,-11.5532,-11.0255,0.75,23.3214,27.4733,25.2662,37.0422,-13.7173,21.3631
-17.8424,29.3515,-19.6456,1.8467,-2.0848,1.4502,-1.7945,-4.1374,5.5765,1.8421,-2.9059,3.1035
54.9502,6.3432,-20.1503,1.0511,-3.0029,4.2104,-1.0073,-3.5355,5.3695,1.051,-2.7121,3.6761
-7.8057,-18.5611,-13.3402,7.5209,-3.7448,8.1184,-4.6371,-15.427,43.4381,7.5309,-1.008,2.6952
-51.4404,13.2844,24.5007,-6.4167,-20.65,74.7381,19.8968,8.6004,28.5536,-8.0755,-10.4155,36.7765
-23.5286,1.5207,-23.573,6.6642,15.213,21.7528,20.6459,-0.1332,8.0919,1.1293,0.6745,2.6445
30.8256,-2.4106,0.6132,8.7746,16.7229,27.2939,-15.4392,8.7942,-54.4073,1.254,-20.5612,32.5231
74.2527,-3.8312,12.871,1.2758,-3.0954,31.4071,-32.6405,23.8397,-61.1031,-0.7981,9.4233,-29.5731
20.0385,-8.7481,21.589,1.1119,-14.5593,8.3159,-16.2756,23.6116,-33.0565,-6.8118,-4.2964,-4.5533
-37.9501,-11.2558,17.0322,4.205,-10.2339,-62.2454,17.0893,-1.96,62.5421,-2.1564,-10.2919,0.1164
-63.5309,-5.042,-18.0607,-3.8967,-19.7868,19.2136,4.3052,45.8019,-47.6631,0.6295,10.2581,-6.266
-21.6888,-7.6981,0.0642,3.2577,5.329,5.0693,-24.2875,18.5602,-30.0982,0.9386,19.4223,-26.7547
7.835,22.1648,-0.2498,-19.7261,24.6934,2.3014,3.2519,-16.712,11.684,0.7159,-3.5087,13.503
