step,link_index,link_name,normal_force,lateral_friction
390,7,toeFL,622.8431777714271,3.0
400,3,toeFR,0.0,3.0
430,7,toeFL,0.0,3.0
440,3,toeFR,466.3052302503884,3.0
440,7,toeFL,0.0,3.0
450,15,toeRL,873.9288031640169,3.0
450,3,toeFR,0.0,3.0
480,3,toeFR,313.9612435684186,3.0
490,15,toeRL,0.0,3.0
500,3,toeFR,368.61025239454324,3.0
500,15,toeRL,0.0,3.0
510,11,toeRR,0.0,3.0
520,7,toeFL,139.32213071857072,3.0
520,11,toeRR,0.0,3.0
530,15,toeRL,355.53472675854306,3.0
530,3,toeFR,0.0,3.0
540,11,toeRR,344.26402889802466,3.0
550,3,toeFR,0.0,3.0
560,15,toeRL,0.0,3.0
560,7,toeFL,0.0,3.0
560,11,toeRR,394.62993386706,3.0
570,15,toeRL,0.0,3.0
570,11,toeRR,279.78136657984305,3.0
580,7,toeFL,233.10298240014765,3.0
580,3,toeFR,0.0,3.0
590,3,toeFR,0.0,3.0
590,11,toeRR,0.0,3.0
630,3,toeFR,0.0,3.0
630,7,toeFL,0.0,3.0
640,3,toeFR,129.2190589940194,3.0
640,15,toeRL,388.23377262507364,3.0
10,15,toeRL,174.93693106439042,3.0
10,15,toeRL,190.9543770121366,3.0
30,3,toeFR,3.729672954560852,3.0
30,11,toeRR,454.212824032191,3.0
40,11,toeRR,463.1411358101345,3.0
40,7,toeFL,689.2112065236449,3.0
50,11,toeRR,579.2846620726607,3.0
50,3,toeFR,73.91325668837119,3.0
60,11,toeRR,0.0,3.0
70,15,toeRL,0.0,3.0
70,3,toeFR,0.0,3.0
80,15,toeRL,0.0,3.0
80,7,toeFL,1125.1823883806205,3.0
90,3,toeFR,0.0,3.0
100,11,toeRR,323.0850603103694,3.0
100,7,toeFL,649.1917652486682,3.0
110,3,toeFR,0.0,3.0
110,11,toeRR,0.0,3.0
120,3,toeFR,907.5925584810361,3.0
130,7,toeFL,473.62415675625977,3.0
130,3,toeFR,0.0,3.0
140,7,toeFL,0.0,3.0
150,11,toeRR,567.3510882824042,3.0
150,7,toeFL,427.395879681857,3.0
160,11,toeRR,0.0,3.0
180,15,toeRL,0.0,3.0
180,11,toeRR,0.0,3.0
200,15,toeRL,535.3579149875444,3.0
200,7,toeFL,381.6299177198663,3.0
200,11,toeRR,0.0,3.0
220,11,toeRR,0.0,3.0
220,7,toeFL,0.0,3.0
230,11,toeRR,0.0,3.0
240,11,toeRR,0.0,3.0
250,11,toeRR,0.0,3.0
260,7,toeFL,1020.8634123577331,3.0
260,11,toeRR,947.1823931427471,3.0
270,7,toeFL,75.59790865765778,3.0
270,11,toeRR,332.8379435895366,3.0
270,3,toeFR,68.33268564496696,3.0
300,7,toeFL,236.76170873833715,3.0
300,11,toeRR,716.4434535398124,3.0
310,7,toeFL,123.01104627215403,3.0
330,3,toeFR,76.2528096802389,3.0
330,11,toeRR,400.7685324489942,3.0
360,7,toeFL,0.0,3.0
370,11,toeRR,97.69340977919497,3.0
390,11,toeRR,351.26345892826254,3.0
410,11,toeRR,0.0,3.0
410,1,FR_upper_leg,0.0,1.0
420,7,toeFL,0.0,3.0
420,1,FR_upper_leg,1235.304408947471,1.0
420,1,FR_upper_leg,104.0277896980232,1.0
420,3,toeFR,0.0,3.0
430,11,toeRR,347.03414015789684,3.0
20,15,toeRL,495.2474395031427,3.0
20,3,toeFR,266.4101882804337,3.0
30,3,toeFR,0.0,3.0
40,3,toeFR,447.39754608207033,3.0
40,11,toeRR,0.0,3.0
50,3,toeFR,0.0,3.0
50,15,toeRL,751.9967238310257,3.0
60,3,toeFR,0.0,3.0
70,7,toeFL,520.4325785761537,3.0
70,11,toeRR,0.0,3.0
90,7,toeFL,549.1279741052916,3.0
90,15,toeRL,0.0,3.0
100,3,toeFR,0.0,3.0
100,15,toeRL,0.0,3.0
120,7,toeFL,35.75658865690248,3.0
130,11,toeRR,387.29495745604305,3.0
160,3,toeFR,0.0,3.0
160,15,toeRL,306.5838257415151,3.0
170,3,toeFR,0.0,3.0
170,15,toeRL,0.0,3.0
180,11,toeRR,98.94022312444055,3.0
180,3,toeFR,408.90722277874573,3.0
200,11,toeRR,0.0,3.0
210,7,toeFL,0.0,3.0
210,11,toeRR,0.0,3.0
220,3,toeFR,285.6854169104726,3.0
250,11,toeRR,0.0,3.0
250,3,toeFR,0.0,3.0
260,3,toeFR,395.30830175938013,3.0
260,11,toeRR,128.61712970833094,3.0
270,11,toeRR,364.74239898980915,3.0
270,3,toeFR,0.0,3.0
280,7,toeFL,657.0163800633828,3.0
290,3,toeFR,143.9568871864974,3.0
290,11,toeRR,630.0289924068636,3.0
300,11,toeRR,609.3574619406431,3.0
310,11,toeRR,0.0,3.0
310,3,toeFR,0.0,3.0
320,11,toeRR,596.4074345965105,3.0
340,7,toeFL,596.2164299838718,3.0
350,15,toeRL,0.0,3.0
370,11,toeRR,573.5952303000105,3.0
370,7,toeFL,293.66148547621697,3.0
380,15,toeRL,265.15268661144853,3.0
390,11,toeRR,303.5683292982559,3.0
400,15,toeRL,709.7663416304282,3.0
400,11,toeRR,0.0,3.0
430,15,toeRL,0.0,3.0
440,15,toeRL,250.84430765594783,3.0
450,3,toeFR,0.0,3.0
460,15,toeRL,799.206643014395,3.0
460,3,toeFR,632.1769637028395,3.0
470,15,toeRL,0.0,3.0
480,7,toeFL,0.0,3.0
480,3,toeFR,0.0,3.0
490,15,toeRL,0.0,3.0
500,11,toeRR,349.120955226662,3.0
500,7,toeFL,127.93781668793916,3.0
500,15,toeRL,0.0,3.0
510,11,toeRR,0.0,3.0
540,15,toeRL,29.703003365843095,3.0
550,7,toeFL,654.9178601161562,3.0
550,15,toeRL,403.32941566846665,3.0
570,15,toeRL,276.7389737894682,3.0
570,7,toeFL,494.1262476258464,3.0
590,15,toeRL,0.0,3.0
590,7,toeFL,32.11151825209196,3.0
600,15,toeRL,683.4680876445349,3.0
10,3,toeFR,0.0,3.0
10,3,toeFR,0.0,3.0
30,11,toeRR,0.0,3.0
40,11,toeRR,0.0,3.0
50,15,toeRL,71.11337083337766,3.0
50,11,toeRR,535.7772673483367,3.0
50,7,toeFL,830.3829609274594,3.0
60,15,toeRL,594.9274718758521,3.0
70,15,toeRL,0.0,3.0
70,7,toeFL,254.15357675582072,3.0
70,11,toeRR,425.49604465693386,3.0
80,11,toeRR,141.49349664664328,3.0
80,7,toeFL,0.0,3.0
90,7,toeFL,298.70407929363375,3.0
90,15,toeRL,0.0,3.0
110,11,toeRR,436.45299842327927,3.0
110,15,toeRL,277.00422525090875,3.0
120,3,toeFR,0.0,3.0
130,15,toeRL,395.0509351539875,3.0
150,15,toeRL,70.32555570505308,3.0
160,3,toeFR,0.0,3.0
170,15,toeRL,289.11980446905807,3.0
200,15,toeRL,492.3579634389505,3.0
220,7,toeFL,1185.3430065400412,3.0
220,3,toeFR,0.0,3.0
240,15,toeRL,296.2044174720216,3.0
240,7,toeFL,0.0,3.0
250,15,toeRL,0.0,3.0
250,7,toeFL,0.0,3.0
260,15,toeRL,683.1640174487669,3.0
260,7,toeFL,0.0,3.0
270,15,toeRL,0.0,3.0
270,7,toeFL,625.1232487166316,3.0
280,15,toeRL,0.0,3.0
290,15,toeRL,637.5851180592442,3.0
290,7,toeFL,322.3306575523033,3.0
300,7,toeFL,73.86673930515798,3.0
310,15,toeRL,586.1744230662343,3.0
320,15,toeRL,228.65714591125797,3.0
320,7,toeFL,252.9440009709709,3.0
340,15,toeRL,0.0,3.0
370,11,toeRR,583.9588389143114,3.0
380,15,toeRL,44.50468596005568,3.0
390,7,toeFL,0.0,3.0
390,15,toeRL,0.0,3.0
400,11,toeRR,0.0,3.0
400,15,toeRL,116.89565246877429,3.0
400,7,toeFL,0.0,3.0
410,11,toeRR,440.4946420927863,3.0
420,15,toeRL,75.48621937542595,3.0
430,15,toeRL,51.16511868954718,3.0
450,13,RL_upper_leg,625.3918720969127,1.0
450,7,toeFL,0.0,3.0
460,13,RL_upper_leg,0.0,1.0
490,13,RL_upper_leg,0.0,1.0
490,15,toeRL,624.20481328111,3.0
500,13,RL_upper_leg,0.0,1.0
500,13,RL_upper_leg,0.0,1.0
500,11,toeRR,125.67773527215687,3.0
520,11,toeRR,140.48247951310861,3.0
530,13,RL_upper_leg,0.0,1.0
530,11,toeRR,0.0,3.0
10,11,toeRR,390.670758380261,3.0
10,7,toeFL,0.0,3.0
20,7,toeFL,334.625956408962,3.0
20,3,toeFR,0.0,3.0
30,7,toeFL,368.1255198279951,3.0
30,15,toeRL,0.0,3.0
30,11,toeRR,741.5776264536969,3.0
40,11,toeRR,0.0,3.0
50,7,toeFL,123.33638485761205,3.0
60,15,toeRL,0.0,3.0
100,3,toeFR,0.0,3.0
110,15,toeRL,0.0,3.0
130,7,toeFL,152.29222858323485,3.0
130,3,toeFR,89.01113298249413,3.0
140,7,toeFL,0.0,3.0
140,11,toeRR,0.0,3.0
160,15,toeRL,379.45792107820665,3.0
170,11,toeRR,781.003194786034,3.0
180,11,toeRR,846.1725490608077,3.0
190,11,toeRR,579.0380119371916,3.0
190,3,toeFR,138.05874936031398,3.0
190,15,toeRL,0.0,3.0
200,3,toeFR,191.09023553203954,3.0
200,15,toeRL,0.0,3.0
210,15,toeRL,0.0,3.0
220,15,toeRL,0.0,3.0
230,11,toeRR,328.7487475241328,3.0
230,3,toeFR,0.0,3.0
240,3,toeFR,0.0,3.0
250,11,toeRR,0.0,3.0
250,3,toeFR,57.232094571833805,3.0
260,7,toeFL,41.99749107170389,3.0
260,3,toeFR,0.0,3.0
260,15,toeRL,0.0,3.0
270,15,toeRL,0.0,3.0
270,3,toeFR,0.0,3.0
300,11,toeRR,515.0819251138573,3.0
310,3,toeFR,471.5186611544047,3.0
310,11,toeRR,242.20529146561705,3.0
320,15,toeRL,379.00526166756015,3.0
330,11,toeRR,498.3853771235201,3.0
330,3,toeFR,0.0,3.0
360,3,toeFR,657.4033095513668,3.0
360,7,toeFL,199.43943875473158,3.0
370,15,toeRL,0.0,3.0
380,11,toeRR,381.1245042422337,3.0
380,15,toeRL,79.49688634159564,3.0
390,3,toeFR,228.19986339976947,3.0
390,15,toeRL,0.0,3.0
400,3,toeFR,0.0,3.0
420,7,toeFL,0.0,3.0
430,15,toeRL,0.0,3.0
430,7,toeFL,0.0,3.0
440,11,toeRR,86.29879505911107,3.0
450,11,toeRR,245.05532580336285,3.0
470,11,toeRR,0.0,3.0
480,15,toeRL,1107.6401736264465,3.0
490,11,toeRR,71.55342777236687,3.0
490,3,toeFR,0.0,3.0
490,7,toeFL,0.0,3.0
500,15,toeRL,747.6505840292439,3.0
10,3,toeFR,593.6424888349512,3.0
20,3,toeFR,136.21144087691303,3.0
30,7,toeFL,0.0,3.0
40,7,toeFL,405.21639298740274,3.0
50,11,toeRR,263.72040883130853,3.0
50,7,toeFL,0.0,3.0
60,11,toeRR,0.0,3.0
70,11,toeRR,558.4684046295861,3.0
70,15,toeRL,815.6091208659022,3.0
70,3,toeFR,0.0,3.0
90,7,toeFL,479.43311707429143,3.0
100,3,toeFR,0.0,3.0
110,15,toeRL,371.7980630495326,3.0
110,11,toeRR,0.0,3.0
120,15,toeRL,814.2116268758517,3.0
120,7,toeFL,144.54173235547267,3.0
120,3,toeFR,0.0,3.0
130,3,toeFR,365.49024260261166,3.0
140,15,toeRL,0.0,3.0
160,15,toeRL,149.3249835017871,3.0
160,3,toeFR,0.0,3.0
170,11,toeRR,23.254638342658627,3.0
170,15,toeRL,0.0,3.0
180,3,toeFR,0.0,3.0
190,11,toeRR,299.5114655674459,3.0
210,11,toeRR,0.0,3.0
230,7,toeFL,1568.5779210963585,3.0
240,11,toeRR,329.8241410417187,3.0
250,3,toeFR,372.7286148149808,3.0
270,15,toeRL,0.0,3.0
280,11,toeRR,450.1444620834151,3.0
280,15,toeRL,107.25595522847074,3.0
280,3,toeFR,816.5368087904506,3.0
310,15,toeRL,953.4339814967665,3.0
350,7,toeFL,0.0,3.0
350,11,toeRR,0.0,3.0
360,11,toeRR,0.0,3.0
370,7,toeFL,0.0,3.0
380,15,toeRL,0.0,3.0
380,11,toeRR,146.83713149241518,3.0
390,15,toeRL,375.40408863298,3.0
410,3,toeFR,634.9438121774728,3.0
420,15,toeRL,382.71031321377365,3.0
420,7,toeFL,0.0,3.0
430,11,toeRR,0.0,3.0
430,15,toeRL,266.68727020425587,3.0
450,7,toeFL,297.9033169617378,3.0
480,11,toeRR,412.9589590135915,3.0
480,3,toeFR,0.0,3.0
480,7,toeFL,0.0,3.0
490,11,toeRR,284.0675065844142,3.0
500,11,toeRR,221.26712532766828,3.0
500,3,toeFR,0.0,3.0
10,3,toeFR,0.0,3.0
30,3,toeFR,0.0,3.0
30,15,toeRL,355.4554694681031,3.0
60,3,toeFR,0.0,3.0
60,11,toeRR,0.0,3.0
70,3,toeFR,379.4707502234813,3.0
70,11,toeRR,103.51630552126764,3.0
80,11,toeRR,0.0,3.0
80,15,toeRL,642.2858972622414,3.0
80,3,toeFR,0.0,3.0
90,3,toeFR,968.4083634523616,3.0
110,7,toeFL,452.9037042805128,3.0
110,15,toeRL,941.2626324943968,3.0
130,7,toeFL,0.0,3.0
130,15,toeRL,0.0,3.0
140,11,toeRR,0.0,3.0
150,7,toeFL,146.52191700175248,3.0
150,15,toeRL,0.0,3.0
190,15,toeRL,630.2474785236585,3.0
190,3,toeFR,651.5037538073844,3.0
190,11,toeRR,0.0,3.0
200,15,toeRL,0.0,3.0
210,15,toeRL,193.14800740679897,3.0
210,11,toeRR,134.91272505813353,3.0
230,3,toeFR,0.0,3.0
230,11,toeRR,250.12939836936323,3.0
230,7,toeFL,0.0,3.0
230,15,toeRL,162.4938401477466,3.0
260,15,toeRL,0.0,3.0
280,3,toeFR,0.0,3.0
280,11,toeRR,557.9876858942868,3.0
290,11,toeRR,153.75670676825476,3.0
290,3,toeFR,0.0,3.0
290,7,toeFL,0.0,3.0
300,7,toeFL,918.0719134427952,3.0
320,15,toeRL,645.86232732372,3.0
330,11,toeRR,0.0,3.0
330,15,toeRL,0.0,3.0
340,15,toeRL,0.0,3.0
350,3,toeFR,63.03157667619174,3.0
350,11,toeRR,545.0685591891579,3.0
350,15,toeRL,435.3086243123325,3.0
350,7,toeFL,0.0,3.0
360,15,toeRL,0.0,3.0
370,3,toeFR,549.8017662768776,3.0
400,3,toeFR,659.9263947930546,3.0
410,15,toeRL,0.0,3.0
420,3,toeFR,673.2394553376308,3.0
430,15,toeRL,439.626047407675,3.0
440,11,toeRR,234.09815844711977,3.0
450,3,toeFR,0.0,3.0
460,7,toeFL,236.41336138101386,3.0
480,3,toeFR,615.5279549857389,3.0
480,15,toeRL,0.0,3.0
490,3,toeFR,0.0,3.0
10,7,toeFL,0.0,3.0
10,11,toeRR,0.0,3.0
20,11,toeRR,0.0,3.0
30,11,toeRR,608.7315369536668,3.0
50,15,toeRL,165.6144285111106,3.0
60,3,toeFR,157.62123828449393,3.0
60,15,toeRL,475.20379608481636,3.0
70,15,toeRL,0.0,3.0
90,7,toeFL,0.0,3.0
110,7,toeFL,358.8559529949736,3.0
110,11,toeRR,0.0,3.0
120,11,toeRR,542.1318098796917,3.0
120,15,toeRL,0.0,3.0
140,7,toeFL,349.05370632365526,3.0
160,7,toeFL,289.4954796693748,3.0
170,11,toeRR,98.81570168815036,3.0
180,7,toeFL,367.0129448307337,3.0
200,15,toeRL,710.6061289659598,3.0
210,7,toeFL,0.0,3.0
210,11,toeRR,0.0,3.0
220,11,toeRR,0.0,3.0
230,3,toeFR,0.0,3.0
230,15,toeRL,75.80270021253567,3.0
240,7,toeFL,685.0006286541158,3.0
250,3,toeFR,331.79071073267033,3.0
260,15,toeRL,0.0,3.0
270,7,toeFL,0.0,3.0
280,11,toeRR,658.2642360570558,3.0
290,3,toeFR,0.0,3.0
300,11,toeRR,461.0717770863561,3.0
310,15,toeRL,71.46377846246895,3.0
310,3,toeFR,0.0,3.0
320,15,toeRL,124.02402183756014,3.0
320,3,toeFR,0.0,3.0
330,3,toeFR,0.0,3.0
330,15,toeRL,0.0,3.0
340,7,toeFL,0.0,3.0
350,11,toeRR,430.215448010508,3.0
360,3,toeFR,423.90898804512057,3.0
360,15,toeRL,0.0,3.0
360,11,toeRR,0.0,3.0
370,7,toeFL,0.0,3.0
400,15,toeRL,1060.7969734910955,3.0
400,7,toeFL,0.0,3.0
400,11,toeRR,0.0,3.0
410,7,toeFL,0.0,3.0
420,7,toeFL,499.97249862092383,3.0
420,15,toeRL,0.0,3.0
430,3,toeFR,765.5081672541239,3.0
440,15,toeRL,627.6484175348379,3.0
460,3,toeFR,91.27704168550311,3.0
470,3,toeFR,0.0,3.0
470,11,toeRR,67.23055654736,3.0
480,15,toeRL,312.38263371994964,3.0
480,3,toeFR,0.0,3.0
490,3,toeFR,851.2213171604207,3.0
490,11,toeRR,0.0,3.0
510,15,toeRL,625.7761167603583,3.0
520,3,toeFR,0.0,3.0
520,11,toeRR,648.6549978486166,3.0
520,15,toeRL,133.8079623810034,3.0
530,3,toeFR,2.3367958736127394,3.0
530,11,toeRR,251.3603082240585,3.0
540,7,toeFL,0.0,3.0
540,11,toeRR,0.0,3.0
10,3,toeFR,231.3740289637908,3.0
20,3,toeFR,0.0,3.0
30,11,toeRR,1204.831575786429,3.0
40,11,toeRR,0.0,3.0
50,11,toeRR,210.9310473794265,3.0
60,11,toeRR,0.0,3.0
60,3,toeFR,0.0,3.0
70,3,toeFR,0.0,3.0
90,7,toeFL,218.63781624094958,3.0
90,15,toeRL,0.0,3.0
100,15,toeRL,138.60265036069563,3.0
100,7,toeFL,419.114589372472,3.0
110,15,toeRL,334.1239927108778,3.0
110,11,toeRR,828.091202083172,3.0
130,7,toeFL,0.0,3.0
130,11,toeRR,457.8681114408051,3.0
140,15,toeRL,641.8781098261361,3.0
140,11,toeRR,0.0,3.0
170,7,toeFL,0.0,3.0
170,15,toeRL,0.0,3.0
