time,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,energy_leg0,energy_leg1,energy_leg2,energy_leg3,speed
11.020833333333334,-70.0,70.0,70.0,-22.283740767375907,39.75147254587046,1.5542819539528998,-12.892999195707814,70.0,32.42678213828113,-25.34106844839224,-35.49775270392408,11.218365791756579,14700.0,2079.1604645450875,6117.725628104071,2028.1119281727042,4.328548881825238
11.025,57.284272079316985,70.0,70.0,32.275726059257956,34.04107928395648,-0.7546722639145419,47.04741054986203,-70.0,-41.038023288514765,32.245918120517,70.0,-4.391015637992041,13081.487827657216,2201.087101694796,8797.578194875949,5959.080253768177,4.326680533846533
11.029166666666667,-70.0,70.0,70.0,-29.149921669442538,28.542257368076317,1.8621811030428075,-44.36250710498466,70.0,29.39937298477765,-70.0,-70.0,-5.487828647404865,14700.0,1667.846107460672,7732.355168537888,9830.116263263277,4.403367369696895
11.033333333333333,-70.0,-70.0,70.0,0.23033289944630553,50.806728917923635,41.9762218189611,35.55938291457832,70.0,50.01971242967842,-42.08512250641798,-70.0,-42.86329080184149,14700.0,4343.379954778571,8666.441344813331,8508.419234743438,4.359158104633697
11.0375,-61.63950527724562,70.0,70.0,12.677749393046469,70.0,35.19760034386777,-17.46569307791898,-70.0,-55.76627826809318,-34.391469671744524,69.85240742281746,30.229402666337236,13599.42861082359,6299.596399639531,8314.92822656647,6975.948794509364,4.4057260398595925
11.041666666666666,-3.814966260309402,70.0,7.317747877273312,10.44022246536982,70.0,-4.073164166276228,70.0,70.0,-2.9257772421062467,36.03921532595678,-18.99280626149705,12.118986796210285,4968.103401562637,5025.588911451849,9808.560172470427,1806.421571964159,4.498565084894966
11.045833333333333,31.145397266410903,-70.0,-70.0,-10.322140963594643,70.0,55.65479623139596,-49.8744831120247,70.0,70.0,18.798546555641774,-70.0,-16.893317082867934,10770.035770882556,8104.002937630525,12287.464065691636,5538.769514666949,4.4668236061006
11.05,-52.49735885289968,-70.0,-34.615730220500595,-70.0,70.0,70.0,56.617492511054664,70.0,65.75925798215295,70.0,-70.0,-1.875285711412838,8854.221465228602,14700.0,12429.820468602677,9803.51669649943,4.413551056848908
11.054166666666667,39.90094774971257,-70.0,4.969876234354114,27.917527623437973,70.0,8.564651161063852,-70.0,70.0,11.693584668461957,-26.991344145780097,-70.0,-11.93872935325802,6516.785301110091,5752.741598116134,9936.739922398488,5771.065917366282,4.454062752746375
11.058333333333334,-5.208113836442571,-70.0,-24.248295370471435,-65.39073648639301,70.0,3.27944326781784,70.0,70.0,70.0,67.99135581243053,-70.0,-21.57714167462546,5515.104278106971,9186.703166379724,14700.0,9988.39750805939,4.450411117790571
11.0625,57.56257121175401,-70.0,-45.308502960794605,-70.0,70.0,70.0,70.0,70.0,70.0,70.0,51.55030525539973,13.283964386309442,10266.310045056585,14700.0,14700.0,7733.897681741631,4.419451101799579
11.066666666666666,-68.18062786184204,-70.0,-17.282455731059027,-70.0,70.0,70.0,70.0,70.0,70.0,39.939396038151436,-70.0,-63.96852076094626,9847.281291731006,14700.0,14700.0,10587.127004235921,4.389452248238886
11.070833333333333,30.53704179980763,44.05484567099715,5.567741816446634,-70.0,70.0,70.0,-70.0,70.0,70.0,55.15853544354371,57.20146595327752,14.155542873276074,2904.3400979131834,14700.0,14700.0,6514.851133517793,4.429002880697785
11.075,-18.902337104406815,-26.105844478621734,-4.699453885796977,-70.0,70.0,70.0,-27.474698725211248,70.0,70.0,-24.72672722442429,-70.0,-22.284193955830172,1060.8983307753517,14700.0,10554.859070041124,6007.996339492143,4.416860811654223
11.079166666666666,31.067305232643704,67.38881562906259,10.255109571206903,-70.0,70.0,70.0,-70.0,70.0,70.0,21.962965727585345,40.037120959368885,15.347196956163721,5611.597198623501,14700.0,14700.0,2320.8793726775048,4.469029045695769
11.083333333333334,-6.009602176615849,-70.0,-14.107426308722319,-70.0,70.0,70.0,-50.649338192927466,70.0,70.0,-19.648571457022133,-70.0,-16.873840010089953,5135.134795377217,14700.0,12365.35545938154,5570.792836987817,4.4508706814016685
11.0875,22.28633058718493,70.0,7.933485825249775,-70.0,70.0,70.0,-70.0,70.0,70.0,10.202385755588411,70.0,27.44698268484754,5459.620728380733,14700.0,14700.0,5757.425533608154,4.519530096805059
11.091666666666667,-26.85384656389048,-70.0,-12.46120313914441,-70.0,70.0,70.0,-27.65575673062199,70.0,70.0,-11.91119895520518,-70.0,-24.34852430815517,5776.410658951995,14700.0,10564.840880343343,5634.727296535304,4.503821624954126
