#{"t_start": 1746295029.984256, "env_id": "None"}
r,l,t
-2530.607138,289,3.361992
-5823.847122,770,11.597448
-1655.736869,235,14.483743
-4452.40858,550,20.414293
-3992.528876,496,42.535346
-2555.483656,280,47.703429
-9333.150013,1256,62.401145
-17741.03803,2387,116.058012
-7313.739905,1020,127.450575
-6044.430416,799,135.501116
-2759.634284,379,156.305703
-5543.657381,834,167.167858
-10375.813701,1511,196.419359
-3550.476664,484,200.407131
-4680.765084,642,207.660992
-3361.993455,502,229.778823
-8536.580975,1353,241.195557
-3506.648641,533,244.661237
-8308.011803,1222,269.714379
-2448.440064,329,273.827417
-2195.225244,364,277.600873
-3505.282595,545,297.857183
-12813.784481,2108,331.318705
-3886.996275,567,334.416013
-13219.556525,2253,368.229604
-4906.238045,829,392.156034
-11207.108765,2005,406.240662
-4927.75873,810,428.162057
-6511.202729,1153,437.15123
-5354.727157,963,458.924891
-2167.899604,390,462.637244
-4362.842309,749,468.652303
-13858.083741,2573,518.99662
-14382.825596,2797,555.909869
-10365.095625,2065,588.644883
-4884.183026,1205,614.636174
-15718.646392,3398,657.249839
