#{"t_start": 1746295030.1215672, "env_id": "None"}
r,l,t
-4487.398158,628,6.806742
-3313.470952,463,12.208656
-1973.157941,256,15.232759
-7890.890407,1071,44.126753
-16626.116135,2277,84.76456
-3319.353624,451,88.58654
-5866.71678,746,96.01173
-5821.046063,818,120.059559
-7707.007366,981,132.421585
-3723.586037,476,137.085838
-7109.122689,1087,164.950313
-3851.327843,478,170.930308
-11189.298229,1677,202.129233
-1984.945484,301,205.992561
-9240.330883,1453,234.097663
-3163.552846,423,238.262733
-13851.16733,2223,272.832788
-27280.270705,4669,341.772045
-2071.487722,319,361.222342
-7054.529805,1148,370.410822
-8690.909123,1430,397.814514
-17053.616571,2854,435.033601
-7763.324122,1370,460.016976
-3186.028915,514,464.205938
-6188.054062,1220,489.877606
-3679.151438,599,495.392079
-13994.984444,2556,527.571138
-2617.450684,453,547.292462
-6396.97486,1267,560.123153
-8976.009087,1826,587.832794
-17073.502739,3698,649.177833
