#{"t_start": 1746295030.0538442, "env_id": "None"}
r,l,t
-8573.28735,1054,10.843352
-10641.108905,1347,43.439202
-11865.316058,1430,61.467356
-7404.614652,1077,86.366649
-7709.423243,1088,98.489703
-9052.421688,1201,125.624695
-2850.540964,422,130.228376
-5607.707792,773,155.295433
-5472.360661,788,164.074001
-7515.385611,1163,192.676349
-13848.726058,2001,228.01763
-7727.701623,1140,236.659723
-7112.321192,1155,263.576833
-8077.19627,1295,274.69113
-4111.015018,568,296.14353
-6323.514899,955,302.076172
-8511.857745,1255,329.061463
-15830.993523,2690,365.415848
-2830.991785,471,369.510124
-2711.760958,390,373.321013
-10010.682819,1941,403.79884
-5886.40739,980,426.660202
-4325.803332,740,432.224377
-10647.151206,1863,461.573516
-10805.829027,1966,493.884976
-1682.702478,281,496.550607
-19061.945587,3556,552.162848
-2791.804414,544,558.545449
-2329.576379,444,562.543204
-2373.369484,396,582.024403
-6208.354728,1439,591.641443
-4642.080249,844,615.122634
-10780.747437,2393,648.17102
