#{"t_start": 1746485342.0149567, "env_id": "None"}
r,l,t
-700.842922,456,6.376996
8.140682,1,6.55566
-1185.885496,527,10.674398
-5082.545248,1618,41.44559
-1072.10465,481,44.800385
-560.526378,184,46.26486
-742.147263,336,48.92613
-1165.772496,444,52.621409
-2307.980913,818,75.698788
-3126.679566,1013,82.211938
-780.171099,558,103.114951
-1616.085083,912,109.03856
-2469.482196,762,113.574214
-1778.977825,528,134.162426
-2644.781542,1160,140.905583
-1275.079337,533,160.743107
-965.330704,641,164.892683
8.320706,1,165.075399
-1366.628915,755,169.833673
-12771.204513,5001,251.046926
-2609.325647,1012,256.908887
-522.702737,460,260.222981
-2578.620945,1793,288.628478
-2394.363046,2243,321.138956
-1748.181634,1176,346.890661
-336.886214,416,349.579009
-361.156862,484,353.444359
-1479.207824,1290,379.573364
-255.261481,296,381.341253
-364.364613,356,383.980062
7.215453,1,384.166335
-65.085038,198,385.667895
-268.888653,295,405.209081
-233.032185,579,408.715894
-147.087101,148,410.097219
-83.432895,282,412.163771
-225.740076,570,415.879636
-342.923646,244,417.539394
8.605071,1,417.723551
7.193747,1,417.890481
-1062.866032,864,442.205185
-183.698371,201,443.618172
-93.160068,186,446.031938
6.726417,1,446.220855
-1014.294543,1291,474.004429
-314.806648,375,477.636157
-795.342858,620,482.742801
-253.699499,447,486.611093
5.813747,1,486.791124
-33.958038,478,507.401241
64.285846,122,508.374423
-175.12165,258,510.042992
-564.843423,450,514.050533
-168.596207,376,517.339419
-108.534024,111,518.43732
-337.097675,445,522.077179
6.957886,1,522.245426
-902.043815,1150,548.284416
5.857053,1,548.468733
-381.511139,455,552.647886
-376.271808,185,553.76136
6.963644,1,553.948733
27.545763,87,554.843477
-100.014332,187,572.590667
25.627825,89,573.811636
-128.32732,345,576.73888
-132.633121,273,578.79524
5.260187,1,578.978176
7.781411,48,579.457972
6.267244,1,579.637091
-251.086719,258,582.394831
-511.661194,475,585.617075
-58.900185,88,586.266449
-964.938912,532,609.22177
-5.58757,279,612.099962
-75.600836,182,613.654504
-1091.989388,626,619.006138
-384.757841,569,624.142314
-880.20413,752,646.714847
-149.396103,209,648.878412
182.548661,345,652.094814
7.880798,1,652.300497
-194.145717,211,655.023575
-43.435757,283,657.092842
-148.652676,378,661.128335
-78.898208,289,680.402732
-181.928228,484,685.061694
4.913779,1,685.243162
4.516839,1,685.406926
-68.097205,116,686.505734
-235.824154,533,690.316801
7.179733,139,691.384871
8.245716,1,691.579357
-34.633823,169,693.308102
149.654919,134,694.939059
-282.290102,651,718.123924
-42.713384,130,719.317774
-83.404633,235,721.345917
8.88939,1,721.511599
-593.520536,306,723.540375
81.924631,347,726.83911
-267.105252,336,729.053904
-25.007928,82,729.912809
-53.782891,87,730.529201
-33.33285,112,731.922961
-130.852375,176,750.445314
2.58007,48,750.909238
7.869465,1,751.0965
-45.790993,263,753.640463
-61.580899,346,756.184876
-12.06398,165,757.853656
9.37807,1,758.041094
-107.440974,657,763.612064
-789.989403,654,786.142978
-493.711003,361,789.47366
6.598678,1,789.678261
137.35361,156,790.610096
31.612969,232,793.205248
-63.708582,327,795.937254
104.912693,150,797.20196
7.051583,1,797.397418
-78.224864,71,798.681874
-168.22255,244,801.324064
56.016761,151,802.887808
5.596027,1,803.072933
95.89488,567,824.72297
-84.078215,415,828.443556
-2.411459,117,829.296224
-76.563638,209,830.915179
65.116765,169,832.35127
-89.458423,131,833.488848
-266.890228,980,859.502806
118.788174,132,860.429359
-1957.627357,477,864.527563
-264.174414,344,867.309988
259.321174,502,871.423379
159.081513,248,873.842606
8.348628,1,874.028542
-38.361985,209,892.931539
-48.346522,425,896.955929
108.501388,276,899.28945
-105.194107,318,901.877823
-438.308669,925,927.600954
-8.013404,45,928.057092
3.073163,217,930.595172
-979.920876,974,938.471723
6.993285,1,938.670792
243.1986,488,942.591141
-157.210258,496,964.389818
134.475922,256,966.702147
182.90483,249,968.839188
-128.399332,715,975.519694
8.43116,1,975.707758
-124.255549,431,978.936388
-696.643566,651,999.611536
85.226548,278,1001.977148
88.943214,340,1005.26714
131.556614,206,1007.498808
43.128929,321,1010.195015
-234.957738,220,1011.880841
76.546553,164,1013.373081
-784.530516,624,1036.026795
-757.978462,348,1038.219316
