#{"t_start": 1746485341.7237988, "env_id": "None"}
r,l,t
-435.346869,842,1583.723901
-198.28312,697,1589.348534
-19.125787,760,1594.599646
-1531.945259,1897,1625.293277
-45.022384,374,1627.865995
326.293747,1060,1654.372628
-279.309488,430,1657.892384
-482.712261,218,1659.256823
-66.249168,308,1661.644498
157.399828,221,1681.630243
193.6264,919,1688.053062
351.904101,979,1694.059984
586.231467,853,1716.153992
-537.932038,666,1721.851682
6.963009,1,1722.056613
-133.264506,930,1744.913616
81.991795,349,1746.941256
-262.124941,553,1750.6854
7.364433,1,1750.865915
1400.4755,1586,1778.156576
279.340812,579,1781.742141
72.106981,626,1786.89008
95.191813,100,1804.729558
249.284138,427,1807.545359
498.349348,825,1813.941345
-35.722729,860,1836.825473
170.920524,226,1838.76004
-419.039033,1063,1845.837933
224.158993,258,1847.756034
-2825.960436,1153,1873.334155
1469.840102,1296,1882.360007
-117.223988,573,1904.980338
-30.094097,244,1906.417863
6.523623,1,1906.614491
871.223195,695,1912.37564
-14.981482,40,1912.806788
884.13801,1072,1935.988853
-143.32731,103,1936.743593
-1306.406561,361,1939.268235
1387.372774,1323,1965.007159
-1187.069238,964,1972.277497
1476.4651,1035,1997.192311
-8.166261,499,2001.364349
625.286884,611,2005.452166
179.955948,111,2006.560861
-1121.104098,1543,2033.317451
-29.845084,149,2034.568512
8.034549,1,2034.76133
320.486851,897,2040.683268
106.283805,371,2059.788301
33.523502,323,2062.82638
558.555449,421,2065.198456
43.738791,208,2067.553125
577.715964,333,2070.299114
538.970557,1631,2098.439687
531.185816,1175,2124.266402
599.740187,493,2127.638569
548.131794,513,2131.642834
-2101.033722,1213,2156.04032
63.141167,204,2157.439077
587.492718,417,2160.94782
519.565914,475,2163.948564
707.144409,464,2184.471422
1583.514046,1213,2194.035692
8.463418,1,2194.23902
221.41161,936,2219.609697
75.730522,418,2222.928364
-3596.905781,2371,2255.558797
-3121.442806,962,2261.413517
412.131626,1394,2287.297382
444.395009,930,2309.722029
876.958373,901,2315.621518
603.994877,436,2318.078852
529.416043,327,2320.799898
676.501406,474,2341.384278
7.466344,1,2341.588015
1714.405326,1266,2350.039782
404.271566,750,2371.019877
-482.65549,935,2377.239684
589.432271,719,2381.956481
367.162382,225,2383.269243
-408.118257,1880,2412.241337
54.634206,147,2413.160708
95.369611,209,2432.47562
-3109.045995,1968,2462.015209
8.329241,1,2462.2266
351.181535,449,2466.082494
-39.164884,145,2467.740166
1521.26095,958,2474.459719
656.540199,366,2477.495071
1168.73618,974,2501.386029
6.62391,1,2501.586614
1605.48001,1037,2508.283865
169.69452,219,2529.671542
-315.825846,333,2531.721433
786.564921,465,2535.704685
617.164284,1316,2559.951405
44.347764,60,2560.480479
-12093.881041,2234,2592.007413
1111.783695,595,2595.371923
1166.82427,796,2601.147262
-824.150794,812,2623.158925
226.765251,215,2624.637934
-1142.632262,1540,2651.433279
580.855379,257,2652.994822
867.018784,479,2656.704844
1132.468587,835,2661.854566
-535.598377,1458,2689.666362
408.430251,474,2692.112978
723.351893,511,2711.734267
306.212238,181,2713.218318
-7701.084658,1660,2723.837111
858.433761,630,2744.799376
575.68136,866,2750.791503
249.436753,1200,2777.313682
653.505404,334,2779.762038
1613.608452,869,2785.922623
1615.693607,529,2807.361539
513.599813,575,2811.125627
5.836238,137,2812.334271
1476.06291,663,2816.416162
8.459785,1,2816.624603
-1599.770928,839,2841.547457
697.34019,1010,2849.445976
-124.997494,424,2853.008208
1408.817893,888,2876.795374
-4238.973291,1485,2903.119962
518.706615,699,2907.371857
361.032929,655,2911.210678
-1334.778594,1468,2936.424361
-990.142466,932,2942.561672
-24.327527,36,2942.975335
1193.161322,401,2962.148215
404.415952,557,2965.953254
2296.329031,889,2970.708748
1499.606056,778,2993.899564
745.166945,246,2995.935084
222.728123,868,3001.152087
1348.920669,673,3022.394125
326.268541,404,3025.693537
5.531988,1,3025.896049
