#{"t_start": 1746440891.9225154, "env_id": "None"}
r,l,t
-2114.46235,421,5.024703
-3209.484091,1022,12.88588
-2665.552859,982,40.025277
-2602.309763,754,45.268465
-3204.168973,1217,70.761631
-3678.422182,1416,80.509809
-3210.628154,1136,104.072977
-3202.471581,1212,111.491855
-3543.340961,1307,136.152793
-4071.961431,1858,162.962493
-3817.813395,1606,189.384066
-1450.21348,582,192.831235
-5280.436811,1635,219.788629
-3190.884896,1472,248.930498
-4571.184234,1473,257.751203
-3818.118535,2107,289.134595
-5127.106478,2092,319.741314
-4832.685978,2710,369.502593
-5069.94834,2299,399.920458
-5144.934438,2385,433.046957
-2352.036257,1255,456.338677
-6372.424254,3459,494.022847
-10923.774101,4126,549.353454
-727.253461,477,569.11912
-10145.650512,4781,627.361639
-990.05927,470,629.968691
-10232.416694,4451,688.48511
-2611.677156,2756,738.603021
-19344.178145,10167,880.928652
-8104.062263,5192,943.068827
-3698.769915,2767,976.892447
-10814.885832,6050,1059.099792
-36037.737683,22688,1383.134044
-7776.167219,3811,1420.499237
-937.711679,521,1435.404554
-4359.289001,2976,1467.654944
-3071.298942,1566,1492.828459
-198.880142,820,1498.256527
-4812.155303,4257,1554.009998
-2100.97407,841,1574.2056
-9840.413446,6578,1653.8414
-886.865113,1879,1679.719684
-637.214189,451,1682.254202
-5741.92422,3767,1736.968581
-645.89252,2427,1768.074982
-1530.020925,3962,1823.430911
-995.170172,519,1826.28706
-9332.094301,7003,1930.068654
-5287.79388,2818,1962.430763
-588.826156,555,1965.957884
-2724.709514,1525,1990.609129
57.447605,605,1994.441451
-8643.574117,6948,2099.160651
-7211.365373,3256,2133.358487
-1311.557019,4615,2208.957633
630.47933,1188,2215.610979
-1354.024818,895,2238.395841
-1734.185361,1834,2265.660784
-4406.39435,3763,2303.606201
-1240.946341,1037,2326.479932
1981.893506,2136,2356.444422
856.647483,1956,2385.36311
37.308258,391,2387.653293
2643.884852,4255,2448.197727
3088.522566,3089,2499.554781
3437.205478,3971,2554.025712
-115.716842,594,2557.773831
-1527.719136,2920,2591.200564
1.791786,298,2593.444606
1072.807549,2017,2622.604991
2659.701314,2423,2671.847287
-1654.52907,1312,2680.067816
5825.948771,3671,2737.537318
2843.255482,5115,2817.289512
2617.413817,2023,2845.364639
257.271904,1384,2852.965535
2175.151104,1360,2879.387475
-9468.320341,2450,2913.192058
163.922794,328,2915.178471
7114.233068,2770,2968.558197
8256.653389,3767,3009.518537
3014.255696,4941,3095.256391
613.416396,724,3099.912678
7899.17644,2617,3136.541854
1086.073607,480,3157.245162
555.444184,276,3159.393349
7349.694094,2526,3195.667956
749.786082,1180,3220.085125
3327.338133,1901,3251.748236
3322.382396,1711,3262.98617
-39.589446,220,3282.864957
4087.495412,1359,3292.143445
-6086.178436,2710,3344.823233
14421.574524,6539,3437.359566
5843.279606,1361,3446.85008
2353.43447,3611,3505.32928
47463.893977,14041,3709.20971
2411.086871,675,3713.526249
4630.221446,1606,3741.347421
341.150592,217,3742.983541
6877.541704,1548,3770.452054
23113.607378,5955,3856.355093
17923.9701,4616,3918.424772
50.002639,140,3919.504259
5967.906161,1496,3946.756879
-32622.301997,6026,4031.556252
1860.391879,584,4034.529775
2544.331803,598,4038.102092
8997.500006,1993,4068.119046
-37302.698075,11047,4239.319433
432.910546,223,4241.609809
50677.054003,7670,4353.320909
10013.415401,1838,4381.598646
31331.420728,4844,4443.402882
2744.933061,601,4446.829093
-112.576199,247,4449.118658
8629.110831,2014,4478.14767
231.148522,213,4479.548197
-36.787523,186,4499.011487
524.956009,198,4500.356219
7950.321201,1184,4506.972306
4004.921541,966,4530.85343
142.410607,198,4532.175198
29227.899689,4764,4593.783501
47423.727861,6311,4684.164716
14127.779738,2093,4710.777563
16.308165,219,4712.169725
122.775071,168,4713.487239
45567.966176,7008,4819.090609
9522.976047,3503,4875.264668
53130.040221,6265,4964.441571
28520.080621,3675,5002.073085
74741.669875,9115,5141.998979
59232.835065,8330,5261.111704
90083.150896,10072,5407.982566
263.763661,200,5409.479449
349.21704,211,5411.045257
-109.669256,178,5412.358312
26669.242409,3053,5465.077001
2266.975427,484,5468.854617
5168.018949,901,5474.084599
472.548278,214,5475.519984
33710.440278,4366,5551.992335
19765.383769,2240,5581.525564
55853.232248,5807,5650.857094
2150.364636,476,5670.685963
299.785021,163,5671.949167
22739.804334,2478,5702.604958
452.071363,196,5703.893874
23854.773036,2550,5735.175277
60198.381069,6495,5820.459076
88128.132299,9553,5952.63466
6855.609992,2565,5981.283891
25437.395658,2610,6028.573315
211.342581,181,6030.007506
93852.692644,9120,6139.560014
16082.350045,1747,6165.180465
161.426238,157,6166.211994
27056.732781,3107,6216.147583
21960.897862,2343,6245.074813
270.083415,144,6246.11796
50100.407524,5040,6303.618196
22178.727147,2501,6350.176517
24634.233572,2317,6378.17498
-28.270151,166,6379.236906
38.167083,155,6380.302416
227.003095,198,6381.586838
131.530107,181,6382.813204
54497.367005,5480,6459.024025
221.817581,183,6460.272714
536.291199,221,6461.854397
25963.69145,2466,6491.55761
5605.057072,2302,6520.132634
6681.349537,733,6540.522019
52503.791744,13361,6705.818958
6798.614008,849,6727.564611
94421.548271,8744,6837.81016
57473.947833,5187,6896.863261
197.850325,157,6898.04322
295.768569,180,6899.292356
1282.562874,391,6917.692525
30714.32673,3147,6950.205409
621.52477,312,6952.159502
