step,leg,toe_y,toe_z,hip_angle,knee_angle
505,RR,-0.1119,0.6459,-2.4842,-2.1709
506,RR,-0.1048,0.6509,-2.4851,-2.1753
507,RR,-0.1132,0.6527,-2.4860,-2.1795
508,RR,-0.1059,0.6578,-2.4867,-2.1836
509,RR,-0.1141,0.6593,-2.4873,-2.1875
510,RR,-0.1067,0.6644,-2.4879,-2.1912
511,RR,-0.1147,0.6656,-2.4883,-2.1948
512,RR,-0.1072,0.6707,-2.4886,-2.1982
513,RR,-0.1149,0.6716,-2.4889,-2.2014
514,RR,-0.1073,0.6766,-2.4890,-2.2044
515,RR,-0.1149,0.6772,-2.4890,-2.2073
516,RR,-0.1071,0.6821,-2.4890,-2.2100
517,RR,-0.1145,0.6825,-2.4888,-2.2126
518,RR,-0.1065,0.6873,-2.4885,-2.2150
519,RR,-0.1138,0.6875,-2.4882,-2.2172
520,RR,-0.1057,0.6921,-2.4877,-2.2193
521,RR,-0.1128,0.6920,-2.4871,-2.2212
522,RR,-0.1046,0.6965,-2.4865,-2.2230
523,RR,-0.1116,0.6962,-2.4857,-2.2246
524,RR,-0.1032,0.7004,-2.4849,-2.2260
525,RR,-0.1100,0.6999,-2.4839,-2.2273
526,RR,-0.1015,0.7039,-2.4829,-2.2284
527,RR,-0.1082,0.7032,-2.4818,-2.2293
528,RR,-0.0995,0.7069,-2.4805,-2.2301
529,RR,-0.1062,0.7060,-2.4792,-2.2307
530,RR,-0.0973,0.7094,-2.4778,-2.2312
531,RR,-0.1038,0.7083,-2.4763,-2.2315
532,RR,-0.0951,0.7117,-2.4747,-2.2317
533,RR,-0.1019,0.7108,-2.4730,-2.2317
534,RR,-0.0931,0.7139,-2.4712,-2.2315
535,RR,-0.0998,0.7128,-2.4693,-2.2311
536,RR,-0.0908,0.7157,-2.4674,-2.2306
537,RR,-0.0974,0.7146,-2.4653,-2.2300
538,RR,-0.0883,0.7171,-2.4632,-2.2292
539,RR,-0.0948,0.7158,-2.4609,-2.2282
540,RR,-0.0863,0.7200,-2.4586,-2.2271
541,RR,-0.0932,0.7201,-2.4562,-2.2258
542,RR,-0.0842,0.7237,-2.4537,-2.2243
543,RR,-0.0910,0.7234,-2.4511,-2.2227
544,RR,-0.0819,0.7268,-2.4484,-2.2209
545,RR,-0.0886,0.7263,-2.4456,-2.2189
546,RR,-0.0800,0.7299,-2.4427,-2.2168
547,RR,-0.0863,0.7287,-2.4397,-2.2145
548,RR,-0.0806,0.7355,-2.4367,-2.2120
549,RR,-0.0842,0.7301,-2.4335,-2.2094
550,RR,-0.0786,0.7364,-2.4303,-2.2066
551,RR,-0.0825,0.7305,-2.4270,-2.2037
552,RR,-0.0770,0.7364,-2.4236,-2.2005
553,RR,-0.0811,0.7300,-2.4201,-2.1972
554,RR,-0.0758,0.7354,-2.4165,-2.1937
555,RR,-0.0801,0.7286,-2.4128,-2.1901
556,RR,-0.0749,0.7335,-2.4090,-2.1863
557,RR,-0.0794,0.7262,-2.4051,-2.1822
558,RR,-0.0744,0.7306,-2.4012,-2.1781
559,RR,-0.0791,0.7230,-2.3971,-2.1737
560,RR,-0.0742,0.7268,-2.3930,-2.1692
561,RR,-0.0791,0.7188,-2.3887,-2.1644
562,RR,-0.0744,0.7221,-2.3844,-2.1595
563,RR,-0.0794,0.7138,-2.3800,-2.1544
564,RR,-0.0749,0.7166,-2.3755,-2.1492
565,RR,-0.0801,0.7079,-2.3709,-2.1437
566,RR,-0.0758,0.7102,-2.3662,-2.1380
567,RR,-0.0810,0.7013,-2.3614,-2.1322
568,RR,-0.0769,0.7030,-2.3565,-2.1261
569,RR,-0.0823,0.6939,-2.3515,-2.1199
570,RR,-0.0782,0.6951,-2.3464,-2.1134
571,RR,-0.0837,0.6858,-2.3412,-2.1068
572,RR,-0.0798,0.6865,-2.3359,-2.0999
573,RR,-0.0853,0.6770,-2.3305,-2.0928
574,RR,-0.0816,0.6771,-2.3250,-2.0855
575,RR,-0.0872,0.6676,-2.3194,-2.0781
576,FR,0.2440,0.4423,-2.4626,-1.9399
577,FR,0.2432,0.4364,-2.4671,-1.9498
578,FR,0.2436,0.4441,-2.4714,-1.9595
579,FR,0.2427,0.4381,-2.4756,-1.9689
580,FR,0.2432,0.4454,-2.4796,-1.9781
581,FR,0.2422,0.4393,-2.4835,-1.9871
582,FR,0.2427,0.4462,-2.4872,-1.9958
583,FR,0.2416,0.4401,-2.4908,-2.0043
584,FR,0.2422,0.4467,-2.4943,-2.0126
585,FR,0.2419,0.4405,-2.4976,-2.0207
586,FR,0.2431,0.4469,-2.5008,-2.0285
587,FR,0.2429,0.4406,-2.5039,-2.0361
588,FR,0.2439,0.4468,-2.5068,-2.0435
589,FR,0.2439,0.4404,-2.5096,-2.0508
590,FR,0.2448,0.4464,-2.5123,-2.0578
591,FR,0.2449,0.4398,-2.5149,-2.0646
592,FR,0.2458,0.4457,-2.5173,-2.0712
593,FR,0.2460,0.4390,-2.5197,-2.0776
594,FR,0.2468,0.4448,-2.5219,-2.0838
595,FR,0.2473,0.4378,-2.5240,-2.0899
596,FR,0.2480,0.4436,-2.5259,-2.0957
597,FR,0.2486,0.4364,-2.5278,-2.1014
598,FR,0.2494,0.4422,-2.5295,-2.1069
599,FR,0.2501,0.4349,-2.5312,-2.1122
600,FR,0.2507,0.4408,-2.5327,-2.1173
601,FR,0.2516,0.4333,-2.5341,-2.1222
602,FR,0.2522,0.4392,-2.5354,-2.1270
603,FR,0.2516,0.4338,-2.5365,-2.1315
604,FR,0.2507,0.4409,-2.5376,-2.1359
605,FR,0.2500,0.4346,-2.5386,-2.1402
606,FR,0.2494,0.4415,-2.5394,-2.1442
607,FR,0.2488,0.4350,-2.5401,-2.1481
608,FR,0.2483,0.4417,-2.5408,-2.1518
609,FR,0.2483,0.4353,-2.5413,-2.1554
610,FR,0.2486,0.4419,-2.5417,-2.1588
611,FR,0.2487,0.4353,-2.5420,-2.1620
612,FR,0.2489,0.4418,-2.5422,-2.1650
613,FR,0.2491,0.4350,-2.5423,-2.1679
614,FR,0.2493,0.4413,-2.5423,-2.1706
615,FR,0.2495,0.4342,-2.5422,-2.1732
616,FR,0.2497,0.4403,-2.5420,-2.1756
617,FR,0.2500,0.4329,-2.5417,-2.1778
618,FR,0.2502,0.4390,-2.5413,-2.1799
619,FR,0.2506,0.4312,-2.5408,-2.1818
620,FR,0.2508,0.4372,-2.5402,-2.1835
621,FR,0.2512,0.4289,-2.5395,-2.1851
622,FR,0.2514,0.4348,-2.5387,-2.1865
623,FR,0.2520,0.4261,-2.5377,-2.1878
624,FR,0.2522,0.4320,-2.5367,-2.1889
625,FR,0.2528,0.4227,-2.5356,-2.1898
626,FR,0.2531,0.4285,-2.5344,-2.1906
627,FR,0.2540,0.4187,-2.5331,-2.1912
628,FR,0.2545,0.4246,-2.5317,-2.1916
629,FR,0.2544,0.4163,-2.5302,-2.1919
630,FR,0.2537,0.4239,-2.5286,-2.1920
631,FR,0.2537,0.4154,-2.5269,-2.1920
632,FR,0.2534,0.4229,-2.5251,-2.1918
633,FR,0.2534,0.4140,-2.5232,-2.1914
634,FR,0.2531,0.4213,-2.5212,-2.1909
635,FR,0.2535,0.4121,-2.5191,-2.1902
636,FR,0.2536,0.4193,-2.5169,-2.1894
637,FR,0.2541,0.4096,-2.5146,-2.1884
638,FR,0.2542,0.4167,-2.5122,-2.1872
639,FR,0.2548,0.4065,-2.5097,-2.1859
640,FR,0.2549,0.4134,-2.5072,-2.1844
641,FR,0.2558,0.4028,-2.5045,-2.1827
642,FR,0.2562,0.4095,-2.5017,-2.1809
643,FR,0.2569,0.3989,-2.4989,-2.1789
644,FR,0.2570,0.4059,-2.4959,-2.1767
645,FR,0.2583,0.3949,-2.4928,-2.1743
646,FR,0.2588,0.4019,-2.4897,-2.1718
647,FR,0.2586,0.3933,-2.4864,-2.1692
648,FR,0.2575,0.4029,-2.4831,-2.1663
649,FR,0.2573,0.3940,-2.4797,-2.1633
650,FR,0.2564,0.4033,-2.4761,-2.1601
651,FR,0.2561,0.3940,-2.4725,-2.1567
652,FR,0.2553,0.4029,-2.4688,-2.1532
653,FR,0.2550,0.3933,-2.4649,-2.1494
654,FR,0.2543,0.4019,-2.4610,-2.1455
655,FR,0.2550,0.3922,-2.4570,-2.1414
656,FR,0.2554,0.4009,-2.4529,-2.1372
657,FR,0.2562,0.3908,-2.4487,-2.1327
658,FR,0.2565,0.3991,-2.4443,-2.1281
659,FR,0.2574,0.3885,-2.4399,-2.1233
660,FR,0.2577,0.3966,-2.4354,-2.1182
661,FR,0.2587,0.3855,-2.4308,-2.1130
662,FR,0.2590,0.3933,-2.4261,-2.1076
663,FR,0.2596,0.3827,-2.4213,-2.1021
664,FR,0.2593,0.3911,-2.4163,-2.0963
665,FR,0.2600,0.3801,-2.4113,-2.0903
666,FR,0.2598,0.3882,-2.4062,-2.0841
667,FR,0.2605,0.3766,-2.4010,-2.0777
668,FR,0.2603,0.3845,-2.3956,-2.0711
669,FR,0.2583,0.3778,-2.3902,-2.0643
670,FR,0.2557,0.3906,-2.3846,-2.0572
671,FR,0.2537,0.3838,-2.3790,-2.0500
672,RL,-0.1587,0.4273,-2.4903,-1.8628
673,RL,-0.1507,0.4202,-2.4953,-1.8734
674,RL,-0.1568,0.4253,-2.5002,-1.8838
675,RL,-0.1491,0.4186,-2.5049,-1.8939
676,RL,-0.1557,0.4241,-2.5094,-1.9037
677,RL,-0.1476,0.4171,-2.5138,-1.9133
678,RL,-0.1541,0.4222,-2.5181,-1.9226
679,RL,-0.1456,0.4149,-2.5222,-1.9317
680,RL,-0.1519,0.4196,-2.5262,-1.9406
681,RL,-0.1468,0.4156,-2.5300,-1.9492
682,RL,-0.1562,0.4237,-2.5337,-1.9576
683,RL,-0.1510,0.4193,-2.5372,-1.9657
684,RL,-0.1599,0.4272,-2.5406,-1.9737
685,RL,-0.1546,0.4224,-2.5439,-1.9814
686,RL,-0.1629,0.4299,-2.5470,-1.9889
687,RL,-0.1575,0.4244,-2.5500,-1.9962
688,RL,-0.1653,0.4317,-2.5529,-2.0032
689,RL,-0.1599,0.4258,-2.5556,-2.0101
690,RL,-0.1673,0.4329,-2.5582,-2.0168
691,RL,-0.1618,0.4266,-2.5607,-2.0233
692,RL,-0.1688,0.4335,-2.5631,-2.0295
693,RL,-0.1632,0.4268,-2.5653,-2.0356
694,RL,-0.1693,0.4336,-2.5674,-2.0415
695,RL,-0.1631,0.4268,-2.5694,-2.0472
696,RL,-0.1691,0.4327,-2.5713,-2.0527
697,RL,-0.1627,0.4250,-2.5731,-2.0581
698,RL,-0.1684,0.4306,-2.5747,-2.0632
699,RL,-0.1618,0.4224,-2.5762,-2.0682
700,RL,-0.1670,0.4279,-2.5777,-2.0730
701,RL,-0.1595,0.4196,-2.5790,-2.0776
702,RL,-0.1646,0.4247,-2.5801,-2.0820
703,RL,-0.1568,0.4161,-2.5812,-2.0863
704,RL,-0.1618,0.4209,-2.5821,-2.0904
705,RL,-0.1545,0.4132,-2.5830,-2.0943
706,RL,-0.1604,0.4187,-2.5837,-2.0980
707,RL,-0.1527,0.4106,-2.5843,-2.1016
708,RL,-0.1585,0.4158,-2.5848,-2.1050
709,RL,-0.1505,0.4074,-2.5852,-2.1082
710,RL,-0.1561,0.4121,-2.5855,-2.1113
711,RL,-0.1495,0.4054,-2.5857,-2.1142
712,RL,-0.1561,0.4120,-2.5858,-2.1169
713,RL,-0.1486,0.4052,-2.5857,-2.1194
714,RL,-0.1550,0.4114,-2.5856,-2.1218
715,RL,-0.1472,0.4044,-2.5853,-2.1241
716,RL,-0.1535,0.4102,-2.5850,-2.1261
717,RL,-0.1453,0.4029,-2.5845,-2.1280
718,RL,-0.1514,0.4083,-2.5839,-2.1298
719,RL,-0.1429,0.4007,-2.5832,-2.1313
720,RL,-0.1489,0.4057,-2.5825,-2.1327
721,RL,-0.1417,0.3997,-2.5816,-2.1340
722,RL,-0.1492,0.4048,-2.5806,-2.1351
723,RL,-0.1419,0.3970,-2.5795,-2.1360
724,RL,-0.1457,0.4039,-2.5783,-2.1368
725,RL,-0.1422,0.3935,-2.5770,-2.1373
726,RL,-0.1456,0.4004,-2.5756,-2.1378
727,RL,-0.1420,0.3894,-2.5740,-2.1380
728,RL,-0.1451,0.3961,-2.5724,-2.1382
729,RL,-0.1415,0.3846,-2.5707,-2.1381
730,RL,-0.1444,0.3911,-2.5689,-2.1379
731,RL,-0.1442,0.3831,-2.5670,-2.1375
732,RL,-0.1499,0.3933,-2.5649,-2.1369
733,RL,-0.1497,0.3850,-2.5628,-2.1362
734,RL,-0.1549,0.3950,-2.5606,-2.1353
735,RL,-0.1533,0.3870,-2.5582,-2.1343
736,RL,-0.1569,0.3973,-2.5558,-2.1331
737,RL,-0.1552,0.3890,-2.5533,-2.1317
738,RL,-0.1586,0.3990,-2.5506,-2.1301
739,RL,-0.1568,0.3903,-2.5479,-2.1284
740,RL,-0.1599,0.3999,-2.5450,-2.1265
741,RL,-0.1581,0.3908,-2.5421,-2.1245
742,RL,-0.1609,0.4000,-2.5391,-2.1222
743,RL,-0.1590,0.3905,-2.5359,-2.1198
744,RL,-0.1616,0.3993,-2.5327,-2.1173
745,RL,-0.1596,0.3894,-2.5293,-2.1145
746,RL,-0.1620,0.3978,-2.5259,-2.1116
747,RL,-0.1600,0.3874,-2.5223,-2.1085
748,RL,-0.1622,0.3955,-2.5186,-2.1052
749,RL,-0.1601,0.3845,-2.5149,-2.1017
750,RL,-0.1621,0.3923,-2.5110,-2.0981
751,RL,-0.1600,0.3808,-2.5070,-2.0943
752,RL,-0.1618,0.3882,-2.5030,-2.0902
753,RL,-0.1621,0.3803,-2.4988,-2.0860
754,RL,-0.1660,0.3914,-2.4945,-2.0817
755,RL,-0.1662,0.3832,-2.4901,-2.0771
756,RL,-0.1695,0.3940,-2.4856,-2.0723
757,RL,-0.1697,0.3853,-2.4810,-2.0674
758,RL,-0.1726,0.3956,-2.4763,-2.0622
759,RL,-0.1717,0.3869,-2.4715,-2.0568
760,RL,-0.1732,0.3972,-2.4666,-2.0513
761,RL,-0.1723,0.3880,-2.4616,-2.0455
762,RL,-0.1737,0.3978,-2.4564,-2.0396
763,RL,-0.1728,0.3882,-2.4512,-2.0334
764,RL,-0.1741,0.3975,-2.4458,-2.0270
765,RL,-0.1731,0.3874,-2.4403,-2.0204
766,RL,-0.1742,0.3963,-2.4347,-2.0136
767,RL,-0.1732,0.3858,-2.4290,-2.0065
