#{"t_start": 1746295030.1239548, "env_id": "None"}
r,l,t
-6296.146247,817,8.325708
-4724.418679,713,17.351412
-4631.081549,708,40.644454
-2903.909186,381,46.915032
-5470.229587,690,55.17241
-3612.25923,412,59.736745
-12408.410912,1540,90.377523
-5213.459424,697,96.965452
-2951.250462,409,117.04193
-2435.282876,358,120.767439
-4832.41079,752,128.899081
-8018.859904,1100,157.355991
-4239.176226,503,162.22236
-1603.599695,212,166.376572
-3017.520421,397,170.114168
-7665.891078,999,195.270568
-4699.546717,679,201.298247
-4190.93659,688,208.696615
-9735.739855,1533,238.935159
-5038.792774,751,261.120331
-12438.070933,1916,278.20106
-3241.754501,527,298.274637
-22091.923106,3708,358.657107
-31362.338218,5488,433.131893
-12327.56836,2437,466.961188
-17787.626318,3426,523.240247
-5264.715518,917,529.357827
-6638.039959,1304,557.476561
-11098.16343,2308,590.696622
-3649.506253,614,611.920041
-4766.417911,1005,620.538989
-2764.868943,544,624.591234
-4536.656051,954,646.741057
-4899.282549,880,654.914042
